DATE,Alte Pinakothek,Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsoper,Deutsches Museum,Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Munich Residenz,Schack galerie,Lenbachhaus,Staatstheater am Gaertnerplatz,Tierpark Hellabrunn
2020-07-01,0.024353234,0.07138347,0.019612411,0.012968291,0.09480111,0.03392596,0.05166495,0.033012673,0.023279453,0.025850087,0.062445838,0.059325483,0.026378643,0.08022051,0.09283077,0.05036416,0.0439102,0.018537799,0.015600611,0.012706756,0.026828587,0.071877725,0.112238996
2020-08-01,0.0347156,0.011739812,0.016683636,0.015316423,0.1016823,0.03807801,0.05898685,0.032401737,0.016818266,0.019247629,0.02899728,0.08566559,0.030783305,0.08240026,0.07600149,0.05080499,0.030846838,0.024736708,0.011484868,0.01558764,0.034732614,0.07925439,0.09587574
2020-09-01,0.039611977,0.04516784,0.014079576,0.016094252,0.09759552,0.027944911,0.059367873,0.024115635,0.015020044,0.015344098,0.0,0.066947274,0.02644959,0.06954168,0.077474594,0.048171785,0.03479477,0.02409875,0.022524143,0.01212241,0.025390524,0.0632755,0.12849188
2020-10-01,0.046370942,0.016117612,0.020186566,0.010357724,0.09557353,0.03133255,0.053567804,0.02598457,0.013762907,0.011207274,0.006628401,0.054160003,0.042019553,0.06928073,0.071073435,0.03889855,0.042997703,0.025890363,0.02879659,0.0045773676,0.041456424,0.06197503,0.11158253
