DATE,Alte Pinakothek,Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsoper,Deutsches Museum,Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Residenztheater,Schack galerie,Lenbachhaus,Staatstheater am Gaertnerplatz,Tierpark Hellabrunn,AnzahlFall
2001-09-01,24144.0,20150.0,4228.0,11436.97475,102080.0,4400.0,0.0,0.0,0.0,23257.0,18822.57375,21816.0,22568.0,83000.0,264425.0,59295.0,0.0,0.0,18793.47798,733.0,18231.0,10162.8,69790.0,0.0
2001-10-01,18936.0,6600.0,3305.0,3902.7,82346.0,57396.03004,0.0,0.0,0.0,20156.0,5509.6,16196.0,22945.0,69200.0,245681.0,72935.0,0.0,0.0,16217.7,535.0,22001.0,18160.1,110838.0,0.0
2001-11-01,21798.0,100.0,8067.0,4843.1,54556.0,57396.03004,0.0,0.0,0.0,12704.0,46077.1,21578.0,40086.0,140900.0,214867.0,38185.0,0.0,0.0,21672.2,891.0,16763.0,21247.5,39594.0,0.0
2001-12-01,20738.0,4800.0,19433.0,4126.2,53243.0,57396.03004,0.0,0.0,0.0,14671.0,52169.3,12606.0,41421.0,96800.0,119350.0,30761.0,0.0,0.0,23092.3,651.0,12483.0,23912.0,26573.0,0.0
2002-01-01,20162.0,50.0,10963.0,669.7,49094.0,2700.0,0.0,0.0,0.0,17788.0,51546.8,12570.0,37851.0,29700.0,29140.0,27823.0,0.0,16639.4,22108.7,682.0,17210.0,18705.2,38342.0,0.0
2002-02-01,25853.0,50.0,10567.0,5330.5,56223.0,2500.0,0.0,0.0,0.0,11642.0,43748.6,30009.0,24480.0,94800.0,201519.0,34909.0,0.0,12427.3,20683.8,975.0,20032.0,16931.0,55812.0,0.0
2002-03-01,18848.0,10400.0,3906.0,4882.8,84049.0,57396.03004,0.0,0.0,0.0,10460.0,48509.2,31668.0,41550.0,49500.0,229335.0,59718.0,0.0,16641.2,19027.5,605.0,20186.0,16445.2,111390.0,0.0
2002-04-01,19595.0,1950.0,6150.0,4781.3,78638.0,9500.0,0.0,0.0,0.0,10167.0,50136.5,27899.0,23519.0,50030.0,240010.0,59737.0,0.0,10062.5,15721.2,727.0,16895.0,15307.3,115294.0,0.0
2002-05-01,24275.0,52900.0,6405.0,1202.0,99892.0,57396.03004,0.0,0.0,0.0,11782.0,47288.0,37721.0,7050.0,28800.0,85595.0,71340.0,0.0,7561.7,17300.9,1055.0,18512.0,14165.6,139163.0,0.0
2002-06-01,15745.0,126400.0,4512.0,4259.0,60447.0,57396.03004,0.0,0.0,0.0,7606.0,30781.2,12866.0,4035.0,73800.0,12438.0,51774.0,0.0,10979.7,14848.0,673.0,14059.0,16039.2,70739.0,0.0
2002-07-01,25704.0,133600.0,5277.0,9564.9,125888.0,57396.03004,0.0,0.0,0.0,10683.0,58975.7,20291.0,4451.0,66200.0,24734.0,83373.0,0.0,2026.9,10585.2,757.0,17821.0,19465.1,118947.0,0.0
2002-08-01,34510.0,510000.0,3984.0,11436.97475,122245.0,57396.03004,0.0,0.0,0.0,11016.0,18822.57375,25717.0,47403.0,57396.03004,465243.0,108885.0,0.0,18803.15487,18793.47798,898.0,15895.0,497.5,174589.0,0.0
2002-09-01,22656.0,18350.0,3910.0,2117.9,82000.0,11100.0,0.0,0.0,0.0,9486.0,21435.2,14654.0,5620.0,40300.0,218916.0,68429.0,302756.0,1460.6,18793.47798,509.0,10350.0,4760.9,100822.0,0.0
2002-10-01,30314.0,26350.0,9316.0,2808.4,110665.0,900.0,0.0,0.0,0.0,27740.0,46060.7,31199.0,10786.0,50100.0,226818.0,67137.0,128576.0,19841.8,4593.9,867.0,16859.0,16371.5,72087.0,0.0
2002-11-01,16515.0,50.0,6868.0,5895.4,61652.0,57396.03004,0.0,0.0,0.0,35623.0,48619.8,16833.0,25226.0,157900.0,246843.0,41276.0,92259.0,15734.2,21387.9,583.0,11026.0,16761.2,34932.0,0.0
2002-12-01,18730.0,42050.0,17122.0,6591.0,64948.0,57396.03004,0.0,0.0,0.0,4421.0,57583.1,19934.0,31308.0,89600.0,103596.0,37121.0,88113.0,40111.8,20876.5,499.0,9734.0,24281.6,26101.0,0.0
2003-01-01,17878.0,50.0,11192.0,4777.7,63117.0,2800.0,0.0,0.0,0.0,8491.0,52214.6,16499.0,37563.0,27000.0,46679.0,27780.0,90116.0,17567.2,20894.3,709.0,10146.0,19004.2,28107.0,0.0
2003-02-01,14512.0,14000.0,6743.0,336.2,61817.0,2500.0,0.0,0.0,0.0,8682.0,42527.9,14939.0,21507.0,121100.0,191428.0,27728.0,73706.0,11255.2,19337.8,749.0,15793.0,16787.1,18896.0,0.0
2003-03-01,20661.0,100.0,5830.0,1141.1,97317.0,9550.0,0.0,0.0,9034.5,9022.0,53164.7,20370.0,23727.0,45500.0,170695.0,56784.0,83825.0,10366.8,20416.6,597.0,21641.0,16861.4,83585.0,0.0
2003-04-01,19212.0,12700.0,3433.0,4047.4,103067.0,900.0,0.0,0.0,14581.7,9160.0,44699.7,18327.0,8588.0,32850.0,158381.0,66535.0,69181.0,8487.1,17346.5,566.0,19924.0,13683.0,137764.0,0.0
2003-05-01,20014.0,58650.0,4127.0,944.6,90709.0,57396.03004,0.0,0.0,10431.8,16286.0,52164.3,19489.0,4528.0,55600.0,264676.0,72705.0,68597.0,8149.2,17983.2,607.0,15671.0,13822.5,99890.0,0.0
2003-06-01,20222.0,98300.0,2281.0,7081.3,72138.0,57396.03004,0.0,0.0,10228.3,10630.0,26571.4,15999.0,2499.0,26900.0,194551.0,65471.0,49776.0,6130.0,15184.7,451.0,10113.0,13024.4,96640.0,0.0
2003-07-01,27289.0,123100.0,10595.0,9643.0,111745.0,57396.03004,0.0,0.0,9761.0,7669.0,66673.1,20784.0,5726.0,57396.03004,136535.0,81697.0,74935.0,3684.0,16756.3,554.0,13549.0,12021.8,110133.0,0.0
2003-08-01,25495.0,484700.0,3787.0,11436.97475,125448.0,57396.03004,0.0,0.0,18842.159669999997,7005.0,18822.57375,23024.0,4972.0,12000.0,256412.0,100995.0,65611.0,18803.15487,18793.47798,592.0,11274.0,18774.39386,132755.0,0.0
2003-09-01,20431.0,66100.0,2361.0,11436.97475,80906.0,10900.0,0.0,0.0,2657.2,5350.0,21819.4,12269.0,11732.0,33000.0,194154.0,68263.0,91110.0,6545.3,18793.47798,420.0,10778.0,5653.7,104151.0,0.0
2003-10-01,31622.0,20050.0,4784.0,4654.1,127486.0,5300.0,0.0,0.0,15768.5,12942.0,50382.0,14653.0,17821.0,88800.0,213078.0,65970.0,97348.0,18586.1,15376.6,806.0,15768.0,11990.6,62320.0,0.0
2003-11-01,17587.0,150.0,8347.0,4478.6,65091.0,900.0,0.0,0.0,13402.6,17542.0,52020.5,18834.0,23600.0,195600.0,264251.0,42600.0,55863.0,25369.6,21886.7,615.0,13172.0,16072.8,42260.0,0.0
2003-12-01,20984.0,17500.0,18063.0,3748.2,64693.0,57396.03004,0.0,0.0,14330.4,12449.0,52600.3,18770.0,30919.0,82100.0,164243.0,33072.0,51260.0,33116.2,22181.5,537.0,10040.0,20592.9,18833.0,0.0
2004-01-01,21921.0,10050.0,14046.0,762.8,59128.0,3700.0,0.0,0.0,15203.7,17513.0,56366.6,18860.0,35758.0,39600.0,26972.0,25003.0,59653.0,10400.2,21629.5,1129.0,10430.0,18559.7,20563.0,0.0
2004-02-01,21400.0,11450.0,15751.0,528.7,72323.0,300.0,0.0,0.0,14798.4,5136.0,57167.7,27432.0,29414.0,132750.0,194551.0,32073.0,67314.0,20689.2,21141.3,1258.0,14626.0,14706.5,33338.0,0.0
2004-03-01,20441.0,240.0,8176.0,5296.0,85145.0,57396.03004,0.0,0.0,14612.3,7771.0,49599.7,25486.0,22791.0,107200.0,152360.0,44212.0,64973.0,18545.3,23591.4,1086.0,36166.0,15939.8,46200.0,0.0
2004-04-01,22570.0,9950.0,7077.0,808.9,106473.0,11500.0,0.0,0.0,14333.7,6964.0,41532.3,21980.0,6172.0,25500.0,211061.0,65785.0,47912.0,8067.8,19389.9,1042.0,46871.0,11971.2,111821.0,0.0
2004-05-01,26690.0,43200.0,4576.0,4305.4,91601.0,57396.03004,0.0,0.0,12842.8,5752.0,46872.5,24042.0,57396.03004,55450.0,223474.0,63978.0,55832.0,4522.3,17533.1,2517.0,45836.0,15152.4,104171.0,0.0
2004-06-01,22825.0,34090.0,9381.0,4331.5,91179.0,2000.0,0.0,0.0,14179.7,5393.0,24875.8,18179.0,3097.0,30400.0,111148.0,59796.0,47435.0,4633.1,20815.1,1947.0,36675.0,14374.4,89981.0,0.0
2004-07-01,22398.0,94500.0,5834.0,7245.1,116487.0,57396.03004,0.0,0.0,12985.3,6769.0,58297.9,24195.0,4875.0,70000.0,85321.0,72458.0,57645.0,2923.0,18438.5,2718.0,24852.0,17059.9,106203.0,0.0
2004-08-01,32077.0,374600.0,4248.0,11436.97475,124859.0,57396.03004,0.0,0.0,18842.159669999997,2552.0,18822.57375,24659.0,7422.0,57396.03004,149922.0,96186.0,51054.0,21219.9,18793.47798,1472.0,12782.0,18774.39386,160751.0,0.0
2004-09-01,21556.0,100550.0,4840.0,11436.97475,74292.0,10100.0,0.0,0.0,790.0,7957.0,23433.1,19403.0,12527.0,19000.0,163817.0,71287.0,39414.0,7238.0,18793.47798,407.0,9902.0,5662.1,94355.0,0.0
2004-10-01,23169.0,28000.0,6474.0,6540.5,104095.0,5000.0,0.0,0.0,15185.1,9072.0,48471.6,21316.0,16651.0,58500.0,165322.0,57235.0,56409.0,13965.2,14807.1,753.0,13739.0,14329.4,64146.0,0.0
2004-11-01,17125.0,35550.0,9027.0,5401.8,75271.0,1100.0,0.0,0.0,14050.3,7383.0,49845.5,16383.0,23807.0,109300.0,313208.0,35321.0,45404.0,24821.0,19912.2,683.0,9515.0,14178.6,28529.0,0.0
