AUSPRAEGUNG,WERT,DATE
Münchner Kammerspiele,13968.0,2009-10-01
Münchner Kammerspiele,15561.0,2009-11-01
Münchner Kammerspiele,17494.0,2009-12-01
Münchner Kammerspiele,16596.0,2008-01-01
Münchner Kammerspiele,12870.0,2008-02-01
Münchner Kammerspiele,17521.0,2008-03-01
Münchner Kammerspiele,15662.0,2008-04-01
Münchner Kammerspiele,14138.0,2008-05-01
Münchner Kammerspiele,11370.0,2008-06-01
Münchner Kammerspiele,12425.0,2008-07-01
Münchner Kammerspiele,,2008-08-01
Münchner Kammerspiele,2356.0,2008-09-01
Münchner Kammerspiele,15271.0,2008-10-01
Münchner Kammerspiele,16436.0,2008-11-01
Münchner Kammerspiele,19615.0,2008-12-01
Münchner Kammerspiele,17080.0,2007-01-01
Münchner Kammerspiele,16214.0,2007-02-01
Münchner Kammerspiele,17202.0,2007-03-01
Münchner Kammerspiele,14742.0,2007-04-01
Münchner Kammerspiele,13874.0,2007-05-01
Münchner Kammerspiele,14624.0,2007-06-01
Münchner Kammerspiele,14824.0,2007-07-01
Münchner Kammerspiele,,2007-08-01
Münchner Kammerspiele,1468.0,2007-09-01
Münchner Kammerspiele,13265.0,2007-10-01
Münchner Kammerspiele,14436.0,2007-11-01
Münchner Kammerspiele,16458.0,2007-12-01
Münchner Kammerspiele,15517.0,2006-01-01
Münchner Kammerspiele,14092.0,2006-02-01
Münchner Kammerspiele,15567.0,2006-03-01
Münchner Kammerspiele,12806.0,2006-04-01
Münchner Kammerspiele,14630.0,2006-05-01
Münchner Kammerspiele,14849.0,2006-06-01
Münchner Kammerspiele,11537.0,2006-07-01
Münchner Kammerspiele,,2006-08-01
Münchner Kammerspiele,1880.0,2006-09-01
Münchner Kammerspiele,14095.0,2006-10-01
Münchner Kammerspiele,14948.0,2006-11-01
Münchner Kammerspiele,18361.0,2006-12-01
Münchner Kammerspiele,15734.0,2005-01-01
Münchner Kammerspiele,13834.0,2005-02-01
Münchner Kammerspiele,17455.0,2005-03-01
Münchner Kammerspiele,14855.0,2005-04-01
Münchner Kammerspiele,12168.0,2005-05-01
Münchner Kammerspiele,14980.0,2005-06-01
Münchner Kammerspiele,15749.0,2005-07-01
Münchner Kammerspiele,,2005-08-01
Münchner Kammerspiele,3386.0,2005-09-01
Münchner Kammerspiele,13645.0,2005-10-01
Münchner Kammerspiele,14217.0,2005-11-01
Münchner Kammerspiele,17936.0,2005-12-01
Münchner Kammerspiele,15088.0,2004-01-01
Münchner Kammerspiele,14685.0,2004-02-01
Münchner Kammerspiele,14497.0,2004-03-01
Münchner Kammerspiele,14221.0,2004-04-01
Münchner Kammerspiele,12736.0,2004-05-01
Münchner Kammerspiele,14066.0,2004-06-01
Münchner Kammerspiele,12879.0,2004-07-01
Münchner Kammerspiele,,2004-08-01
Münchner Kammerspiele,689.0,2004-09-01
Münchner Kammerspiele,15068.0,2004-10-01
Münchner Kammerspiele,13926.0,2004-11-01
Münchner Kammerspiele,13965.0,2004-12-01
Münchner Kammerspiele,8921.0,2003-03-01
Münchner Kammerspiele,14458.0,2003-04-01
Münchner Kammerspiele,10331.0,2003-05-01
Münchner Kammerspiele,10127.0,2003-06-01
Münchner Kammerspiele,9668.0,2003-07-01
Münchner Kammerspiele,,2003-08-01
Münchner Kammerspiele,2584.0,2003-09-01
Münchner Kammerspiele,15653.0,2003-10-01
Münchner Kammerspiele,13293.0,2003-11-01
Münchner Kammerspiele,14215.0,2003-12-01
Nationaltheater,44015.0,2020-01-01
Nationaltheater,45416.0,2020-02-01
Nationaltheater,17417.0,2020-03-01
Nationaltheater,0.0,2020-04-01
Nationaltheater,0.0,2020-05-01
Nationaltheater,42658.0,2019-01-01
Nationaltheater,45388.0,2019-02-01
Nationaltheater,53264.0,2019-03-01
Nationaltheater,49837.0,2019-04-01
Nationaltheater,42338.0,2019-05-01
Nationaltheater,42418.0,2019-06-01
Nationaltheater,51967.0,2019-07-01
Nationaltheater,,2019-08-01
Nationaltheater,15857.0,2019-09-01
Nationaltheater,46593.0,2019-10-01
Nationaltheater,38799.0,2019-11-01
Nationaltheater,47752.0,2019-12-01
Nationaltheater,52795.0,2018-01-01
Nationaltheater,43238.0,2018-02-01
Nationaltheater,46371.0,2018-03-01
Nationaltheater,41880.0,2018-04-01
Nationaltheater,43466.0,2018-05-01
Nationaltheater,40362.0,2018-06-01
Nationaltheater,49926.0,2018-07-01
Nationaltheater,,2018-08-01
Nationaltheater,11802.0,2018-09-01
Nationaltheater,42397.0,2018-10-01
Nationaltheater,47241.0,2018-11-01
Nationaltheater,53508.0,2018-12-01
Nationaltheater,51487.0,2017-01-01
Nationaltheater,41630.0,2017-02-01
Nationaltheater,40533.0,2017-03-01
Nationaltheater,52095.0,2017-04-01
Nationaltheater,50316.0,2017-05-01
Nationaltheater,36984.0,2017-06-01
Nationaltheater,60236.0,2017-07-01
Nationaltheater,,2017-08-01
Nationaltheater,5748.0,2017-09-01
Nationaltheater,44976.0,2017-10-01
Nationaltheater,36922.0,2017-11-01
Nationaltheater,49957.0,2017-12-01
Nationaltheater,46182.0,2016-01-01
Nationaltheater,38301.0,2016-02-01
Nationaltheater,45142.0,2016-03-01
Nationaltheater,51380.0,2016-04-01
Nationaltheater,48105.0,2016-05-01
Nationaltheater,38860.0,2016-06-01
Nationaltheater,54499.0,2016-07-01
Nationaltheater,,2016-08-01
Nationaltheater,15697.0,2016-09-01
Nationaltheater,45913.0,2016-10-01
Nationaltheater,47949.0,2016-11-01
Nationaltheater,55193.0,2016-12-01
Nationaltheater,49635.0,2015-01-01
Nationaltheater,48072.0,2015-02-01
Nationaltheater,47821.0,2015-03-01
Nationaltheater,44126.0,2015-04-01
Nationaltheater,45600.0,2015-05-01
Nationaltheater,32923.0,2015-06-01
Nationaltheater,52821.0,2015-07-01
Nationaltheater,,2015-08-01
Nationaltheater,18909.0,2015-09-01
Nationaltheater,44261.0,2015-10-01
Nationaltheater,41230.0,2015-11-01
Nationaltheater,54619.0,2015-12-01
Nationaltheater,51328.0,2014-01-01
Nationaltheater,44863.0,2014-02-01
Nationaltheater,54154.0,2014-03-01
Nationaltheater,43551.0,2014-04-01
Nationaltheater,47512.0,2014-05-01
Nationaltheater,35280.0,2014-06-01
Nationaltheater,89077.0,2014-07-01
Nationaltheater,,2014-08-01
Nationaltheater,15574.0,2014-09-01
Nationaltheater,41567.0,2014-10-01
Nationaltheater,49262.0,2014-11-01
Nationaltheater,56768.0,2014-12-01
Nationaltheater,41297.0,2013-01-01
Nationaltheater,40054.0,2013-02-01
Nationaltheater,50281.0,2013-03-01
Nationaltheater,44298.0,2013-04-01
Nationaltheater,42341.0,2013-05-01
Nationaltheater,34760.0,2013-06-01
Nationaltheater,53534.0,2013-07-01
Nationaltheater,,2013-08-01
Nationaltheater,17521.0,2013-09-01
Nationaltheater,44409.0,2013-10-01
Nationaltheater,46898.0,2013-11-01
Nationaltheater,56042.0,2013-12-01
Nationaltheater,39812.0,2012-01-01
Nationaltheater,46678.0,2012-02-01
Nationaltheater,51801.0,2012-03-01
Nationaltheater,46513.0,2012-04-01
Nationaltheater,35857.0,2012-05-01
Nationaltheater,25730.0,2012-06-01
Nationaltheater,59318.0,2012-07-01
Nationaltheater,,2012-08-01
Nationaltheater,13591.0,2012-09-01
Nationaltheater,41964.0,2012-10-01
Nationaltheater,42347.0,2012-11-01
Nationaltheater,62084.0,2012-12-01
Nationaltheater,51934.0,2011-01-01
Nationaltheater,40409.0,2011-02-01
Nationaltheater,50956.0,2011-03-01
Nationaltheater,44818.0,2011-04-01
Nationaltheater,44599.0,2011-05-01
Nationaltheater,30949.0,2011-06-01
Nationaltheater,57298.0,2011-07-01
Nationaltheater,,2011-08-01
Nationaltheater,,2011-09-01
Nationaltheater,26223.0,2011-10-01
Nationaltheater,44754.0,2011-11-01
Nationaltheater,45274.0,2011-12-01
Nationaltheater,47862.0,2010-01-01
Nationaltheater,46438.0,2010-02-01
Nationaltheater,45620.0,2010-03-01
Nationaltheater,39889.0,2010-04-01
Nationaltheater,41937.0,2010-05-01
Nationaltheater,25898.0,2010-06-01
Nationaltheater,59887.0,2010-07-01
Nationaltheater,,2010-08-01
Nationaltheater,18426.0,2010-09-01
Nationaltheater,47179.0,2010-10-01
Nationaltheater,41808.0,2010-11-01
Nationaltheater,54602.0,2010-12-01
Nationaltheater,42936.0,2009-01-01
Nationaltheater,46553.0,2009-02-01
Nationaltheater,47199.0,2009-03-01
Nationaltheater,39664.0,2009-04-01
Nationaltheater,43155.0,2009-05-01
Nationaltheater,26607.0,2009-06-01
Nationaltheater,60554.0,2009-07-01
Nationaltheater,,2009-08-01
Nationaltheater,20352.0,2009-09-01
Nationaltheater,44454.0,2009-10-01
Nationaltheater,48684.0,2009-11-01
Nationaltheater,55138.0,2009-12-01
Nationaltheater,48436.0,2008-01-01
Nationaltheater,48121.0,2008-02-01
Nationaltheater,45293.0,2008-03-01
Nationaltheater,45401.0,2008-04-01
Nationaltheater,42567.0,2008-05-01
Nationaltheater,27608.0,2008-06-01
Nationaltheater,59371.0,2008-07-01
Nationaltheater,,2008-08-01
Nationaltheater,,2008-09-01
Nationaltheater,44474.0,2008-10-01
Nationaltheater,50724.0,2008-11-01
Nationaltheater,47879.0,2008-12-01
Nationaltheater,51672.0,2007-01-01
Nationaltheater,43818.0,2007-02-01
Nationaltheater,47948.0,2007-03-01
Nationaltheater,46823.0,2007-04-01
Nationaltheater,42944.0,2007-05-01
Nationaltheater,31741.0,2007-06-01
Nationaltheater,59367.0,2007-07-01
Nationaltheater,,2007-08-01
Nationaltheater,11530.0,2007-09-01
Nationaltheater,44499.0,2007-10-01
Nationaltheater,47719.0,2007-11-01
Nationaltheater,56484.0,2007-12-01
Nationaltheater,50970.0,2006-01-01
Nationaltheater,38171.0,2006-02-01
Nationaltheater,50488.0,2006-03-01
Nationaltheater,38498.0,2006-04-01
Nationaltheater,30401.0,2006-05-01
Nationaltheater,28747.0,2006-06-01
Nationaltheater,57486.0,2006-07-01
Nationaltheater,,2006-08-01
Nationaltheater,,2006-09-01
Nationaltheater,10762.0,2006-10-01
Nationaltheater,51451.0,2006-11-01
Nationaltheater,52225.0,2006-12-01
Nationaltheater,46927.0,2005-01-01
Nationaltheater,46473.0,2005-02-01
Nationaltheater,50385.0,2005-03-01
Nationaltheater,44042.0,2005-04-01
Nationaltheater,49283.0,2005-05-01
Nationaltheater,28607.0,2005-06-01
Nationaltheater,65054.0,2005-07-01
Nationaltheater,,2005-08-01
Nationaltheater,,2005-09-01
Nationaltheater,25385.0,2005-10-01
Nationaltheater,48948.0,2005-11-01
Nationaltheater,51874.0,2005-12-01
Nationaltheater,56244.0,2004-01-01
Nationaltheater,57042.0,2004-02-01
Nationaltheater,49481.0,2004-03-01
Nationaltheater,41420.0,2004-04-01
Nationaltheater,46757.0,2004-05-01
Nationaltheater,24771.0,2004-06-01
Nationaltheater,58173.0,2004-07-01
Nationaltheater,,2004-08-01
Nationaltheater,23334.0,2004-09-01
Nationaltheater,48358.0,2004-10-01
Nationaltheater,49725.0,2004-11-01
Nationaltheater,59117.0,2004-12-01
Nationaltheater,52094.0,2003-01-01
Nationaltheater,42410.0,2003-02-01
Nationaltheater,53042.0,2003-03-01
Nationaltheater,44586.0,2003-04-01
Nationaltheater,52042.0,2003-05-01
Nationaltheater,26466.0,2003-06-01
Nationaltheater,66543.0,2003-07-01
Nationaltheater,,2003-08-01
Nationaltheater,21720.0,2003-09-01
Nationaltheater,50265.0,2003-10-01
Nationaltheater,51901.0,2003-11-01
Nationaltheater,52477.0,2003-12-01
Nationaltheater,51428.0,2002-01-01
Nationaltheater,43631.0,2002-02-01
Nationaltheater,48390.0,2002-03-01
Nationaltheater,50020.0,2002-04-01
Nationaltheater,47174.0,2002-05-01
Nationaltheater,30673.0,2002-06-01
Nationaltheater,58852.0,2002-07-01
Nationaltheater,,2002-08-01
Nationaltheater,21331.0,2002-09-01
Nationaltheater,45947.0,2002-10-01
Nationaltheater,48501.0,2002-11-01
Nationaltheater,57458.0,2002-12-01
Nationaltheater,50316.0,2001-01-01
Nationaltheater,48015.0,2001-02-01
Nationaltheater,47265.0,2001-03-01
Nationaltheater,49648.0,2001-04-01
Nationaltheater,45240.0,2001-05-01
Nationaltheater,27488.0,2001-06-01
Nationaltheater,62042.0,2001-07-01
Nationaltheater,,2001-08-01
Nationaltheater,,2001-09-01
Nationaltheater,5419.0,2001-10-01
Nationaltheater,45961.0,2001-11-01
Nationaltheater,52049.0,2001-12-01
Nationaltheater,51845.0,2000-01-01
Nationaltheater,44384.0,2000-02-01
Nationaltheater,50659.0,2000-03-01
Nationaltheater,51129.0,2000-04-01
Nationaltheater,45784.0,2000-05-01
Nationaltheater,28548.0,2000-06-01
Nationaltheater,57229.0,2000-07-01
Nationaltheater,,2000-08-01
Nationaltheater,24300.0,2000-09-01
Nationaltheater,50857.0,2000-10-01
Nationaltheater,53824.0,2000-11-01
Nationaltheater,48118.0,2000-12-01
Prinzregententheater (Großes Haus),28982.0,2020-01-01
Prinzregententheater (Großes Haus),26400.0,2020-02-01
Prinzregententheater (Großes Haus),6447.0,2020-03-01
Prinzregententheater (Großes Haus),0.0,2020-04-01
Prinzregententheater (Großes Haus),0.0,2020-05-01
Prinzregententheater (Großes Haus),30887.0,2019-01-01
Prinzregententheater (Großes Haus),29952.0,2019-02-01
Prinzregententheater (Großes Haus),25360.0,2019-03-01
Prinzregententheater (Großes Haus),19771.0,2019-04-01
Prinzregententheater (Großes Haus),22218.0,2019-05-01
Prinzregententheater (Großes Haus),5979.0,2019-06-01
Prinzregententheater (Großes Haus),9558.0,2019-07-01
Prinzregententheater (Großes Haus),5560.0,2019-08-01
Prinzregententheater (Großes Haus),6392.0,2019-09-01
Prinzregententheater (Großes Haus),12685.0,2019-10-01
Prinzregententheater (Großes Haus),27757.0,2019-11-01
Prinzregententheater (Großes Haus),37686.0,2019-12-01
Prinzregententheater (Großes Haus),34770.0,2018-01-01
Prinzregententheater (Großes Haus),23137.0,2018-02-01
Prinzregententheater (Großes Haus),29970.0,2018-03-01
Prinzregententheater (Großes Haus),23310.0,2018-04-01
Prinzregententheater (Großes Haus),7760.0,2018-05-01
Prinzregententheater (Großes Haus),5890.0,2018-06-01
Prinzregententheater (Großes Haus),12886.0,2018-07-01
Prinzregententheater (Großes Haus),4560.0,2018-08-01
Prinzregententheater (Großes Haus),6836.0,2018-09-01
Prinzregententheater (Großes Haus),12822.0,2018-10-01
Prinzregententheater (Großes Haus),18563.0,2018-11-01
Prinzregententheater (Großes Haus),37842.0,2018-12-01
Prinzregententheater (Großes Haus),34976.0,2017-01-01
Prinzregententheater (Großes Haus),21253.0,2017-02-01
Prinzregententheater (Großes Haus),30249.0,2017-03-01
Prinzregententheater (Großes Haus),22263.0,2017-04-01
Prinzregententheater (Großes Haus),19036.0,2017-05-01
Prinzregententheater (Großes Haus),8198.0,2017-06-01
Prinzregententheater (Großes Haus),13327.0,2017-07-01
Prinzregententheater (Großes Haus),3840.0,2017-08-01
Prinzregententheater (Großes Haus),5336.0,2017-09-01
Prinzregententheater (Großes Haus),20146.0,2017-10-01
Prinzregententheater (Großes Haus),26575.0,2017-11-01
Prinzregententheater (Großes Haus),40990.0,2017-12-01
Prinzregententheater (Großes Haus),28550.0,2016-01-01
Prinzregententheater (Großes Haus),19830.0,2016-02-01
Prinzregententheater (Großes Haus),27198.0,2016-03-01
Prinzregententheater (Großes Haus),26471.0,2016-04-01
Prinzregententheater (Großes Haus),5968.0,2016-05-01
Prinzregententheater (Großes Haus),14928.0,2016-06-01
Prinzregententheater (Großes Haus),10635.0,2016-07-01
Prinzregententheater (Großes Haus),11550.0,2016-08-01
Prinzregententheater (Großes Haus),12600.0,2016-09-01
Prinzregententheater (Großes Haus),16780.0,2016-10-01
Prinzregententheater (Großes Haus),19026.0,2016-11-01
Prinzregententheater (Großes Haus),42872.0,2016-12-01
Prinzregententheater (Großes Haus),33040.0,2015-01-01
Prinzregententheater (Großes Haus),21282.0,2015-02-01
Prinzregententheater (Großes Haus),18336.0,2015-03-01
Prinzregententheater (Großes Haus),15546.0,2015-04-01
Prinzregententheater (Großes Haus),19910.0,2015-05-01
Prinzregententheater (Großes Haus),8052.0,2015-06-01
Prinzregententheater (Großes Haus),17200.0,2015-07-01
Prinzregententheater (Großes Haus),12340.0,2015-08-01
Prinzregententheater (Großes Haus),7060.0,2015-09-01
Prinzregententheater (Großes Haus),21000.0,2015-10-01
Prinzregententheater (Großes Haus),30041.0,2015-11-01
Prinzregententheater (Großes Haus),39930.0,2015-12-01
Prinzregententheater (Großes Haus),29060.0,2014-01-01
Prinzregententheater (Großes Haus),17122.0,2014-02-01
Prinzregententheater (Großes Haus),31243.0,2014-03-01
Prinzregententheater (Großes Haus),11930.0,2014-04-01
Prinzregententheater (Großes Haus),20165.0,2014-05-01
Prinzregententheater (Großes Haus),9671.0,2014-06-01
Prinzregententheater (Großes Haus),11350.0,2014-07-01
Prinzregententheater (Großes Haus),12000.0,2014-08-01
Prinzregententheater (Großes Haus),8025.0,2014-09-01
Prinzregententheater (Großes Haus),16813.0,2014-10-01
Prinzregententheater (Großes Haus),31046.0,2014-11-01
Prinzregententheater (Großes Haus),43100.0,2014-12-01
Prinzregententheater (Großes Haus),32360.0,2013-01-01
Prinzregententheater (Großes Haus),14368.0,2013-02-01
Prinzregententheater (Großes Haus),21885.0,2013-03-01
Prinzregententheater (Großes Haus),19886.0,2013-04-01
Prinzregententheater (Großes Haus),10576.0,2013-05-01
Prinzregententheater (Großes Haus),16122.0,2013-06-01
Prinzregententheater (Großes Haus),19197.0,2013-07-01
Prinzregententheater (Großes Haus),12150.0,2013-08-01
Prinzregententheater (Großes Haus),13350.0,2013-09-01
Prinzregententheater (Großes Haus),19380.0,2013-10-01
Prinzregententheater (Großes Haus),32540.0,2013-11-01
Prinzregententheater (Großes Haus),41813.0,2013-12-01
Prinzregententheater (Großes Haus),26990.0,2012-01-01
Prinzregententheater (Großes Haus),26070.0,2012-02-01
Prinzregententheater (Großes Haus),15680.0,2012-03-01
Prinzregententheater (Großes Haus),34800.0,2012-04-01
Prinzregententheater (Großes Haus),14494.0,2012-05-01
Prinzregententheater (Großes Haus),13906.0,2012-06-01
Prinzregententheater (Großes Haus),18740.0,2012-07-01
Prinzregententheater (Großes Haus),16670.0,2012-08-01
Prinzregententheater (Großes Haus),9440.0,2012-09-01
Prinzregententheater (Großes Haus),15210.0,2012-10-01
Prinzregententheater (Großes Haus),22348.0,2012-11-01
Prinzregententheater (Großes Haus),37840.0,2012-12-01
Prinzregententheater (Großes Haus),23010.0,2011-01-01
Prinzregententheater (Großes Haus),14819.0,2011-02-01
Prinzregententheater (Großes Haus),23030.0,2011-03-01
Prinzregententheater (Großes Haus),17000.0,2011-04-01
Prinzregententheater (Großes Haus),14175.0,2011-05-01
Prinzregententheater (Großes Haus),7426.0,2011-06-01
Prinzregententheater (Großes Haus),10370.0,2011-07-01
Prinzregententheater (Großes Haus),14470.0,2011-08-01
Prinzregententheater (Großes Haus),7910.0,2011-09-01
Prinzregententheater (Großes Haus),20670.0,2011-10-01
Prinzregententheater (Großes Haus),22301.0,2011-11-01
Prinzregententheater (Großes Haus),22301.0,2011-12-01
Prinzregententheater (Großes Haus),23495.0,2010-01-01
Prinzregententheater (Großes Haus),21089.0,2010-02-01
Prinzregententheater (Großes Haus),21180.0,2010-03-01
Prinzregententheater (Großes Haus),13647.0,2010-04-01
Prinzregententheater (Großes Haus),12267.0,2010-05-01
Prinzregententheater (Großes Haus),7584.0,2010-06-01
Prinzregententheater (Großes Haus),3550.0,2010-07-01
Prinzregententheater (Großes Haus),16100.0,2010-08-01
Prinzregententheater (Großes Haus),3050.0,2010-09-01
Prinzregententheater (Großes Haus),16790.0,2010-10-01
Prinzregententheater (Großes Haus),22188.0,2010-11-01
Prinzregententheater (Großes Haus),37980.0,2010-12-01
Prinzregententheater (Großes Haus),23460.0,2009-01-01
Prinzregententheater (Großes Haus),19870.0,2009-02-01
Prinzregententheater (Großes Haus),23891.0,2009-03-01
Prinzregententheater (Großes Haus),26840.0,2009-04-01
Prinzregententheater (Großes Haus),14090.0,2009-05-01
Prinzregententheater (Großes Haus),8578.0,2009-06-01
Prinzregententheater (Großes Haus),1790.0,2009-07-01
Prinzregententheater (Großes Haus),,2009-08-01
