DATE,Alte Pinakothek,Ausland (Tourismus),Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsorchester,Deutsches Museum,Inland (Tourismus),Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Philharmoniker,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Residenztheater,Schackgalerie,Schauburg - Theater fuer junges Publikum,Staedtische Galerie im Lenbachhaus,Theater am Gaertnerplatz,Tierpark Hellabrunn,Kinos
01/06/2002,15745,0,126400,4512,4259,60447,0,57396.03004,0,0,0,25255.2,7606,30781.2,12866,4035,73800,12438,51774,0,10979.7,14848,673,4051.7,14059,16039.2,70739,309710
01/07/2002,25704,0,133600,5277,9564.9,125888,0,57396.03004,0,0,0,7242.1,10683,58975.7,20291,4451,66200,24734,83373,0,2026.9,10585.2,757,4930.5,17821,19465.1,118947,462654
01/08/2002,34510,0,510000,3984,11523.11961,122245,0,57396.03004,0,0,0,2445.7,11016,18969.56682,25717,47403,57396.03004,465243,108885,0,18959.70111,18949.8636,898,18940.11325,15895,497.5,174589,387539
01/09/2002,22656,0,18350,3910,2117.9,82000,0,11100,0,0,0,14475,9486,21435.2,14654,5620,40300,218916,68429,302756,1460.6,18949.8636,509,18940.11325,10350,4760.9,100822,367674
01/10/2002,30314,0,26350,9316,2808.4,110665,0,900,0,0,0,21325.1,27740,46060.7,31199,10786,50100,226818,67137,128576,19841.8,4593.9,867,1900.2,16859,16371.5,72087,455152
01/11/2002,16515,0,50,6868,5895.4,61652,0,57396.03004,0,0,0,27234,35623,48619.8,16833,25226,157900,246843,41276,92259,15734.2,21387.9,583,4593.9,11026,16761.2,34932,456634
01/12/2002,18730,0,42050,17122,6591,64948,0,57396.03004,0,0,0,23478.9,4421,57583.1,19934,31308,89600,103596,37121,88113,40111.8,20876.5,499,5566.8,9734,24281.6,26101,516100
01/01/2003,17878,0,50,11192,4777.7,63117,0,2800,0,0,0,24287.2,8491,52214.6,16499,37563,27000,46679,27780,90116,17567.2,20894.3,709,3670.4,10146,19004.2,28107,488539
01/02/2003,14512,0,14000,6743,336.2,61817,0,2500,0,0,0,16143.4,8682,42527.9,14939,21507,121100,191428,27728,73706,11255.2,19337.8,749,4807.6,15793,16787.1,18896,441716
01/03/2003,20661,0,100,5830,1141.1,97317,0,9550,0,0,9034.5,30103.3,9022,53164.7,20370,23727,45500,170695,56784,83825,10366.8,20416.6,597,4201,21641,16861.4,83585,460087
01/04/2003,19212,0,12700,3433,4047.4,103067,0,900,0,0,14581.7,20991.6,9160,44699.7,18327,8588,32850,158381,66535,69181,8487.1,17346.5,566,3149.4,19924,13683,137764,391792
01/05/2003,20014,0,58650,4127,944.6,90709,0,57396.03004,0,0,10431.8,21872.4,16286,52164.3,19489,4528,55600,264676,72705,68597,8149.2,17983.2,607,5329.1,15671,13822.5,99890,380822
01/06/2003,20222,0,98300,2281,7081.3,72138,0,57396.03004,0,0,10228.3,15523.6,10630,26571.4,15999,2499,26900,194551,65471,49776,6130,15184.7,451,2521.1,10113,13024.4,96640,286372
01/07/2003,27289,0,123100,10595,9643,111745,0,57396.03004,0,0,9761,13124.2,7669,66673.1,20784,5726,57396.03004,136535,81697,74935,3684,16756.3,554,6693.4,13549,12021.8,110133,338283
01/08/2003,25495,0,484700,3787,11523.11961,125448,0,57396.03004,0,0,18979.50766,11498.17614,7005,18969.56682,23024,4972,12000,256412,100995,65611,18959.70111,18949.8636,592,18940.11325,11274,18930.46492,132755,367691
01/09/2003,20431,0,66100,2361,11523.11961,80906,0,10900,0,0,2657.2,17405.4,5350,21819.4,12269,11732,33000,194154,68263,91110,6545.3,18949.8636,420,18940.11325,10778,5653.7,104151,364003
01/10/2003,31622,0,20050,4784,4654.1,127486,0,5300,0,0,15768.5,12049,12942,50382,14653,17821,88800,213078,65970,97348,18586.1,15376.6,806,2474.9,15768,11990.6,62320,457442
01/11/2003,17587,0,150,8347,4478.6,65091,0,900,0,0,13402.6,24195,17542,52020.5,18834,23600,195600,264251,42600,55863,25369.6,21886.7,615,4614,13172,16072.8,42260,538375
01/12/2003,20984,0,17500,18063,3748.2,64693,0,57396.03004,0,0,14330.4,25123.4,12449,52600.3,18770,30919,82100,164243,33072,51260,33116.2,22181.5,537,5502.7,10040,20592.9,18833,560399
01/01/2004,21921,0,10050,14046,762.8,59128,0,3700,0,0,15203.7,25208.6,17513,56366.6,18860,35758,39600,26972,25003,59653,10400.2,21629.5,1129,4575.5,10430,18559.7,20563,531027
01/02/2004,21400,0,11450,15751,528.7,72323,0,300,0,0,14798.4,18051.9,5136,57167.7,27432,29414,132750,194551,32073,67314,20689.2,21141.3,1258,3886.1,14626,14706.5,33338,485202
01/03/2004,20441,0,240,8176,5296,85145,0,57396.03004,0,0,14612.3,25215.5,7771,49599.7,25486,22791,107200,152360,44212,64973,18545.3,23591.4,1086,4698.6,36166,15939.8,46200,420218
01/04/2004,22570,0,9950,7077,808.9,106473,0,11500,0,0,14333.7,24424.4,6964,41532.3,21980,6172,25500,211061,65785,47912,8067.8,19389.9,1042,2421.6,46871,11971.2,111821,407452
01/05/2004,26690,0,43200,4576,4305.4,91601,0,57396.03004,0,0,12842.8,14662.5,5752,46872.5,24042,57396.03004,55450,223474,63978,55832,4522.3,17533.1,2517,4171,45836,15152.4,104171,449848
01/06/2004,22825,0,34090,9381,4331.5,91179,0,2000,0,0,14179.7,10813.7,5393,24875.8,18179,3097,30400,111148,59796,47435,4633.1,20815.1,1947,3271.3,36675,14374.4,89981,424815
01/07/2004,22398,0,94500,5834,7245.1,116487,0,57396.03004,0,0,12985.3,20547.7,6769,58297.9,24195,4875,70000,85321,72458,57645,2923,18438.5,2718,4501,24852,17059.9,106203,505479
01/08/2004,32077,0,374600,4248,11523.11961,124859,0,57396.03004,0,0,18979.50766,11498.17614,2552,18969.56682,24659,7422,57396.03004,149922,96186,51054,21219.9,18949.8636,1472,18940.11325,12782,18930.46492,160751,492733
01/09/2004,21556,0,100550,4840,11523.11961,74292,0,10100,0,0,790,11976.5,7957,23433.1,19403,12527,19000,163817,71287,39414,7238,18949.8636,407,18940.11325,9902,5662.1,94355,407956
01/10/2004,23169,0,28000,6474,6540.5,104095,0,5000,0,0,15185.1,20004.1,9072,48471.6,21316,16651,58500,165322,57235,56409,13965.2,14807.1,753,3238,13739,14329.4,64146,488698
01/11/2004,17125,0,35550,9027,5401.8,75271,0,1100,0,0,14050.3,28675.5,7383,49845.5,16383,23807,109300,313208,35321,45404,24821,19912.2,683,4278.7,9515,14178.6,28529,458374
01/12/2004,17210,0,4000,15114,11523.11961,61646,0,800,0,0,14084.5,18508.8,7473,59242.3,12694,38497,123000,69843,28717,36039,32150.7,19003.9,550,4595.1,8255,21576.8,16898,440713
01/01/2005,14496,0,50,18263,3904.7,80920,0,10600,0,0,15856.3,11957.7,8267,47042.9,21075,33788,44800,47636,39048,34546,9247.9,17430.6,585,3909,10261,19195.6,35969,496249
