AUSPRAEGUNG,WERT,DATE
Bayerisches Staatsorchester,548.0,2009-02-01
Bayerisches Staatsorchester,4830.0,2009-03-01
Bayerisches Staatsorchester,6780.0,2009-04-01
Bayerisches Staatsorchester,4308.0,2009-05-01
Bayerisches Staatsorchester,178.0,2009-06-01
Bayerisches Staatsorchester,8209.0,2009-07-01
Bayerisches Staatsorchester,,2009-08-01
Bayerisches Staatsorchester,3793.0,2009-09-01
Bayerisches Staatsorchester,1554.0,2009-10-01
Bayerisches Staatsorchester,4976.0,2009-11-01
Bayerisches Staatsorchester,500.0,2009-12-01
Bayerisches Staatsorchester,699.0,2008-01-01
Bayerisches Staatsorchester,4779.0,2008-02-01
Bayerisches Staatsorchester,,2008-03-01
Bayerisches Staatsorchester,4882.0,2008-04-01
Bayerisches Staatsorchester,567.0,2008-05-01
Bayerisches Staatsorchester,6097.0,2008-06-01
Bayerisches Staatsorchester,6752.0,2008-07-01
Bayerisches Staatsorchester,,2008-08-01
Bayerisches Staatsorchester,,2008-09-01
Bayerisches Staatsorchester,1735.0,2008-10-01
Bayerisches Staatsorchester,4599.0,2008-11-01
Bayerisches Staatsorchester,4743.0,2008-12-01
Bayerisches Staatsorchester,4338.0,2007-01-01
Bayerisches Staatsorchester,6853.0,2007-02-01
Bayerisches Staatsorchester,677.0,2007-03-01
Bayerisches Staatsorchester,3805.0,2007-04-01
Bayerisches Staatsorchester,795.0,2007-05-01
Bayerisches Staatsorchester,3879.0,2007-06-01
Bayerisches Staatsorchester,7974.0,2007-07-01
Bayerisches Staatsorchester,,2007-08-01
Bayerisches Staatsorchester,4568.0,2007-09-01
Bayerisches Staatsorchester,5054.0,2007-10-01
Bayerisches Staatsorchester,4562.0,2007-11-01
Bayerisches Staatsorchester,,2007-12-01
Bayerisches Staatsorchester,962.0,2006-01-01
Bayerisches Staatsorchester,8155.0,2006-02-01
Bayerisches Staatsorchester,717.0,2006-03-01
Bayerisches Staatsorchester,7516.0,2006-04-01
Bayerisches Staatsorchester,5369.0,2006-05-01
Bayerisches Staatsorchester,,2006-06-01
Bayerisches Staatsorchester,2823.0,2006-07-01
Bayerisches Staatsorchester,,2006-08-01
Bayerisches Staatsorchester,3193.0,2006-09-01
Bayerisches Staatsorchester,5357.0,2006-10-01
Bayerisches Staatsorchester,547.0,2006-11-01
Bayerisches Staatsorchester,663.0,2006-12-01
Bayerisches Staatsorchester,3823.0,2005-01-01
Bayerisches Staatsorchester,5240.0,2005-02-01
Bayerisches Staatsorchester,2865.0,2005-03-01
Bayerisches Staatsorchester,4572.0,2005-04-01
Bayerisches Staatsorchester,4330.0,2005-05-01
Bayerisches Staatsorchester,685.0,2005-06-01
Bayerisches Staatsorchester,5192.0,2005-07-01
Bayerisches Staatsorchester,,2005-08-01
Bayerisches Staatsorchester,,2005-09-01
Bayerisches Staatsorchester,4394.0,2005-10-01
Bayerisches Staatsorchester,4929.0,2005-11-01
Bayerisches Staatsorchester,4358.0,2005-12-01
Bayerisches Staatsorchester,662.0,2004-01-01
Bayerisches Staatsorchester,453.0,2004-02-01
Bayerisches Staatsorchester,5197.0,2004-03-01
Bayerisches Staatsorchester,737.0,2004-04-01
Bayerisches Staatsorchester,4224.0,2004-05-01
Bayerisches Staatsorchester,4240.0,2004-06-01
Bayerisches Staatsorchester,7155.0,2004-07-01
Bayerisches Staatsorchester,,2004-08-01
Bayerisches Staatsorchester,,2004-09-01
Bayerisches Staatsorchester,6448.0,2004-10-01
Bayerisches Staatsorchester,5303.0,2004-11-01
Bayerisches Staatsorchester,,2004-12-01
Bayerisches Staatsorchester,4689.0,2003-01-01
Bayerisches Staatsorchester,247.0,2003-02-01
Bayerisches Staatsorchester,1060.0,2003-03-01
Bayerisches Staatsorchester,3965.0,2003-04-01
Bayerisches Staatsorchester,877.0,2003-05-01
Bayerisches Staatsorchester,6987.0,2003-06-01
Bayerisches Staatsorchester,9545.0,2003-07-01
Bayerisches Staatsorchester,,2003-08-01
Bayerisches Staatsorchester,,2003-09-01
Bayerisches Staatsorchester,4561.0,2003-10-01
Bayerisches Staatsorchester,4389.0,2003-11-01
Bayerisches Staatsorchester,3664.0,2003-12-01
Bayerisches Staatsorchester,611.0,2002-01-01
Bayerisches Staatsorchester,5232.0,2002-02-01
Bayerisches Staatsorchester,4799.0,2002-03-01
Bayerisches Staatsorchester,4693.0,2002-04-01
Bayerisches Staatsorchester,1132.0,2002-05-01
Bayerisches Staatsorchester,4165.0,2002-06-01
Bayerisches Staatsorchester,9471.0,2002-07-01
Bayerisches Staatsorchester,,2002-08-01
Bayerisches Staatsorchester,2026.0,2002-09-01
Bayerisches Staatsorchester,2723.0,2002-10-01
Bayerisches Staatsorchester,5795.0,2002-11-01
Bayerisches Staatsorchester,6489.0,2002-12-01
Bayerisches Staatsorchester,5447.0,2001-01-01
Bayerisches Staatsorchester,4827.0,2001-02-01
Bayerisches Staatsorchester,4895.0,2001-03-01
Bayerisches Staatsorchester,3416.0,2001-04-01
Bayerisches Staatsorchester,7146.0,2001-05-01
Bayerisches Staatsorchester,,2001-06-01
Bayerisches Staatsorchester,7542.0,2001-07-01
