DATE,Alte Pinakothek,Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsoper,Deutsches Museum,Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Munich Residenz,Schack galerie,Lenbachhaus,Staatstheater am Gaertnerplatz,Tierpark Hellabrunn,AnzahlFall
2000-01-01,0.04903261908451792,0.12142021217510514,0.048761837513941586,0.0062810746968609095,0.1306478768410414,0.009731212692587041,0.0,0.0,0.0,0.022502371611097468,0.10992272083495315,0.044596455385310305,0.11287783627196941,0.08567698131516852,0.014497391430934562,0.05829842595267688,0.0,0.0,0.03962422879560235,0.008102292307088775,0.026839107702359085,0.04130667085090985,0.06988068453787559,0.0
2000-02-01,0.02901489385088376,0.0805134267550551,0.022444319358641468,0.0009241448495920624,0.08328385529011892,0.0805134267550551,0.0,0.0,0.0,0.02212027949790108,0.062417652136381924,0.024737848243102642,0.054051532095448315,0.12035766256071488,0.24266096705583198,0.04607678487333102,0.0,0.0,0.027817068582112258,0.0021785017477481375,0.018843408871539426,0.026507161993543547,0.0555370654829984,0.0
2000-03-01,0.036576014264166554,0.008895943600265018,0.005237657870494496,0.00567971783709228,0.13552491062656047,0.0004105820123199239,0.0,0.0,0.0,0.02470471968128982,0.069494700823258,0.03481598603802181,0.054398010812266716,0.08567477990409078,0.3344204176412857,0.060637488792821825,0.0,0.0,0.026845631154196675,0.001824352741408195,0.02639768617875564,0.026719445615743683,0.06174195440596242,0.0
2000-04-01,0.018683322151225597,0.0017846755487737885,0.0038939389629808097,0.005121349571649982,0.12485924765886819,0.0008923377743868942,0.0,0.0,0.0,0.011545735378348427,0.057161038525010276,0.015936037228331947,0.033948990626549394,0.01940834659291495,0.3891752735433562,0.0907540979218011,0.0,0.0,0.01760805513308939,0.0009079536854386649,0.018827211617345484,0.01938715357077326,0.17010523450915566,0.0
2000-05-01,0.029221073319627023,0.0024018072570263158,0.0030784306728628722,0.0007241105764611911,0.12613193744870427,0.0006176075803781955,0.0,0.0,0.0,0.01900035409501275,0.06298979712277217,0.019770304878550905,0.008288293728675384,0.1332659912327173,0.3163317403632631,0.09921934401840198,0.0,0.0,0.020056737549717416,0.0008056347770711128,0.01931053034649158,0.024977697504041902,0.11380860752822468,0.0
2000-06-01,0.055411395615630146,0.07609043445687039,0.009837127449526679,0.01199946151384846,0.14800565020251763,0.0019510367809453945,0.0,0.0,0.0,0.028760233187916057,0.05590422750649695,0.03516353590297884,0.018862623598180073,0.09364976548537893,0.03984602417724779,0.14316512794899208,0.0,0.0,0.0297162412105793,0.0014710817328328274,0.024702076683549637,0.03018663617846524,0.19527732036804357,0.0
2000-07-01,0.038302618275743175,0.10452815731422398,0.010444577058924725,0.009621533676407208,0.1488913490460677,0.05910838676824266,0.0,0.0,0.0,0.027257647958550544,0.05906273418559782,0.024494603169643518,0.013985146564799622,0.02317126639970482,0.2038350559330478,0.10108439221019673,0.0,0.0,0.017462175309036217,0.0018011797748037216,0.018577176648190013,0.01933451029013161,0.11903748941668803,0.0
2000-08-01,0.02197282793189121,0.33787437213481814,0.004674539578038764,0.008382344170563103,0.08063690709548148,0.04206648072010267,0.0,0.0,0.0,0.010011635408593527,0.013795369384513624,0.01869595956352945,0.016330106042377186,0.003517997800969907,0.21482213821897614,0.08088096819292376,0.0,0.0,0.01377404462363627,0.0009264060875887421,0.009645910220534364,0.013760057562413983,0.10823193526304772,0.0
2000-09-01,0.03852934479526151,0.15268214195510812,0.015605695676085374,0.014348576846749502,0.10168856478249247,0.005645600976154368,0.0,0.0,0.0,0.015103864478204986,0.030615090431289377,0.018446060256088373,0.025082777848056508,0.013925815741180774,0.33237785729211755,0.09916309927915942,0.0,0.0,0.001508379123028977,0.0014088910880491901,0.01535478007714518,0.008279963849427467,0.11023349550440079,0.0
2000-10-01,0.04480263705741804,0.00017768013004290263,0.02107049435468768,0.006194876960655815,0.11735298775653605,0.0007107205201716105,0.0,0.0,0.0,0.026774026529064854,0.06038340766088017,0.03515105239348757,0.03953975160554726,0.14498698611500854,0.25943668054664354,0.07335109581851135,0.0,0.0,0.02398314549977097,0.005717746584780607,0.0336490630275249,0.021332868680051034,0.085384778759217,0.0
