
Olympiaturm
Olympiapark, Spiridon-Louis-Ring 7, 80809 München, Germany
Saturday  ,  2:00 PM   ,  89 , Usually as busy as it gets
Saturday  ,  3:00 PM   , 100 , Usually as busy as it gets
Saturday  ,  4:00 PM   ,  95 , Usually as busy as it gets
Saturday  ,  5:00 PM   ,  80 , Usually as busy as it gets
Saturday  ,  6:00 PM   ,  58 , Usually a little busy
Saturday  ,  7:00 PM   ,  36 , Usually not too busy
Saturday  ,  8:00 PM   ,  19 , Usually not busy
Saturday  ,  9:00 PM   ,   8 , Usually not busy
Saturday  ,  10:00 PM  ,   0 , 
Saturday  ,  11:00 PM  ,   0 , 
