
Olympiapark
Spiridon-Louis-Ring 21, 80809 Munich, Germany

Thursday  ,  5:00 PM   ,  49 , Usually not too busy
Thursday  ,  6:00 PM   ,  55 , Usually a little busy
Thursday  ,  7:00 PM   ,  60 , Usually a little busy
Thursday  ,  8:00 PM   ,  56 , Usually a little busy
Thursday  ,  9:00 PM   ,  43 , Usually not too busy
Thursday  ,  10:00 PM  ,  25 , Usually not too busy
Thursday  ,  11:00 PM  ,  11 , Usually not busy
Thursday  ,  12:00 AM  ,   3 , Usually not busy
Thursday  ,  1:00 AM   ,   0 , 
Thursday  ,  2:00 AM   ,   1 , Usually not busy
Thursday  ,  3:00 AM   ,   1 , Usually not busy
 Friday   ,  4:00 AM   ,   0 , 
 Friday   ,  5:00 AM   ,   1 , Usually not busy
 Friday   ,  6:00 AM   ,   3 , Usually not busy
 Friday   ,  7:00 AM   ,   6 , Usually not busy
 Friday   ,  8:00 AM   ,  11 , Usually not busy
 Friday   ,  9:00 AM   ,  17 , Usually not busy
 Friday   ,  10:00 AM  ,  23 , Usually not too busy
 Friday   ,  11:00 AM  ,  31 , Usually not too busy
 Friday   ,  12:00 PM  ,  39 , Usually not too busy
 Friday   ,  1:00 PM   ,  46 , Usually not too busy
 Friday   ,  2:00 PM   ,  50 , Usually a little busy
 Friday   ,  3:00 PM   ,  52 , Usually a little busy
 Friday   ,  4:00 PM   ,  52 , Usually a little busy
 Friday   ,  5:00 PM   ,  54 , Usually a little busy
 Friday   ,  6:00 PM   ,  62 , Usually a little busy
 Friday   ,  7:00 PM   ,  69 , Usually a little busy
 Friday   ,  8:00 PM   ,  68 , Usually a little busy
 Friday   ,  9:00 PM   ,  55 , Usually a little busy
 Friday   ,  10:00 PM  ,  34 , Usually not too busy
 Friday   ,  11:00 PM  ,  16 , Usually not busy
 Friday   ,  12:00 AM  ,   5 , Usually not busy
 Friday   ,  1:00 AM   ,   1 , Usually not busy
 Friday   ,  2:00 AM   ,   1 , Usually not busy
 Friday   ,  3:00 AM   ,   1 , Usually not busy
Saturday  ,  4:00 AM   ,   1 , Usually not busy
Saturday  ,  5:00 AM   ,   1 , Usually not busy
Saturday  ,  6:00 AM   ,   0 , 
Saturday  ,  7:00 AM   ,   2 , Usually not busy
Saturday  ,  8:00 AM   ,   6 , Usually not busy
Saturday  ,  9:00 AM   ,  14 , Usually not busy
Saturday  ,  10:00 AM  ,  27 , Usually not too busy
Saturday  ,  11:00 AM  ,  44 , Usually not too busy
Saturday  ,  12:00 PM  ,  64 , Usually a little busy
Saturday  ,  1:00 PM   ,  82 , Usually as busy as it gets
Saturday  ,  2:00 PM   ,  94 , Usually as busy as it gets
Saturday  ,  3:00 PM   , 100 , Usually as busy as it gets
Saturday  ,  4:00 PM   ,  99 , Usually as busy as it gets
Saturday  ,  5:00 PM   ,  97 , Usually as busy as it gets
Saturday  ,  6:00 PM   ,  95 , Usually as busy as it gets
Saturday  ,  7:00 PM   ,  90 , Usually as busy as it gets
Saturday  ,  8:00 PM   ,  79 , Usually a little busy
Saturday  ,  9:00 PM   ,  62 , Usually a little busy
Saturday  ,  10:00 PM  ,  41 , Usually not too busy
Saturday  ,  11:00 PM  ,  22 , Usually not too busy
Saturday  ,  12:00 AM  ,  10 , Usually not busy
Saturday  ,  1:00 AM   ,   3 , Usually not busy
Saturday  ,  2:00 AM   ,   0 , 
Saturday  ,  3:00 AM   ,   1 , Usually not busy
