date,title,text,rating,visitor_origin,visit
Erlebnisdatum: April 2019,Wunderschön ein Rendezvous mit Lemuren,"Wir wollten etwas besonderes. Also hatten wir ein Rendezvous mit Lemuren. Dieses einzigartige Erlebnis können wir nur empfehlen. Man bekommt einen Einblick hinter die Kulissen, vom Schlafplatz bis zur Fütterung. Dann kommt das Highlight mit 2 Personen gehst direkt rein ins Gehege und du kannst füttern, schmusen und zum Schluss bekommst du dein Handy wieder mit über 150 Fotos. Danke an die Tierpflegerin Marion für die schöne Zeit!!!!Den Zoo haben wir uns natürlich auch angeschaut. Viel Zeit sollte man einplanen, denn er ist gross und sehr schön angelegt. Die Tiere werden nicht nur ""gehalten"" sondern auch beschäftigt und mit Fütterungsspielzeug gefördert. Der Gesamteindruck ist super. Alles wirkt sauber und an jeder Ecke sind Plätze zum Ausruhen und Essen. Macht weiter so.",50,"Augsburg, Deutschland",Reiseart: als Paar
Erlebnisdatum: April 2019,"Schöner Zoll, toller Tag",Wir haben schon einige Zoos uns angesehen und Hellabrunn gehört zu den schöneren.  Mann kann hier sehr gut  den Nachmiitag verbringen.,40,"Alsfeld, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: März 2019,Toll geworden und immer wieder wird überall alles nettes und artgerechter gestaltet,"Nachdem ich länger nicht im Zoo war, war es heute so weit. 10 Uhr dort, alles völlig entspannt und ruhig. Die 15 Euro Eintritt für Erwachsene lohnen sich, die Weiterentwicklungen und Baumaßnahmen der letzten Jahre zahlen sich aus. Die Anlagen und Gehege sind top gepflegt, was man den Tieren ansieht. Die Tierpfleger machen einen super Job, auch bei der Kommentierung der Fütterungen. Obwohl es frisch war heute, waren die meisten Tiere draußen und aktiv.",50,"München, Deutschland",Reiseart: allein
Erlebnisdatum: März 2019,nett und sehr viel Andrang,"Da der Tag unseres Besuches auch der seit langem freundlichste und wärmste Tag war, waren im Tierpark auch entsprechend viele Menschen unterwegs. Die beiden Parkplätze waren schon um 10 Uhr fast völlig belegt. Trotzdem verläuft sich die Menschenmenge im weitläufigen Gelände, wenn man erst mal drin ist. Die Wartezeit an den Kassen war trotz Schlangen nur kurz (10 min). Der Tierpark selbst ist gut ausgeschildert, man kann die Tierarten dank Plan gut finden. Für die Kinder gibt es einen Spielplatz, Streichelzoo, einen Auto-Parcours und eine Eisenbahn. Es gibt genügend Toiletten und Möglichkeiten der Einkehr.",40,"Mohlsdorf, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: März 2019,"Immer wieder sehr, sehr schön!","Weil es so schön ist, wollen auch viele hin. Am Wochenende gnadenlos überlaufen, mit heftigen Schlangen an den Kassen und keine Chance auf Parkplätze. Leider keine Online-Tickets. Tipp: Beim Brezn-Sepp im Tierpark geht es nicht ganz so schlimm zu, wie in den anderen Ess-Stationen - netter Biergarten mit sehr guten bayerischen Gerichten.",40,"München, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: März 2019,Immer wieder schön,"Wir waren mal wieder hier, da es Samstag war und das Wetter nur mäßig schön. Wir waren überrascht das doch so viele Tiere zu sehen waren, trotz der Jahreszeit. Das letzte mal als wir da waren zahlten wir für den Eintritt 12 oder 12,50€ mittlerweile ist der Eintritt auf 15€/ Erwachsene angestiegen. Mit einer kleiner kleinen Familienkarte haben wir wenigstens noch ein paar Euro gespart. Im Gegensatz zu anderen Zoos ist es trotzdem noch moderat. Wir waren ganz gespannt auf das Elefantenhaus, das war bei unserem letzten Besuch noch im Bau.Da waren wir etwas enttäuscht, es wirkt für die Riesen Tiere viel zu klein. Ich hoffe das die Tiere im Winter auch mal da raus dürfen.Den Kindern hat es wie immer gefallen das ist die Hauptsache.",40,"Garmisch-Partenkirchen, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: August 2018,Toll,"Ja was soll man noch über unseren super Tierpark schreiben, meine Vorredner finden ihn ja genau so super wie ich.Daher macht einfach weiter mit eurer super Arbeit, und danke für die vielen tollen Stunden die ich bei euch schon verbringen durfte. Früher als Kind und jetzt als Papa.;-)",50,"München, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Oktober 2018,Zoo mit Tieren aus aller Welt,"Das ist ein schöner lehrreicher Zoo, sehr übersichtlich, tolle Gehege und fußläufig gut zu bewältigen. Für jeden ist etwas geboten, ob allein, zu zweit oder mit der Familie, Freunden.",50,,Reiseart: mit Freunden
Erlebnisdatum: März 2019,Nicht jetzt besuchen,"Für 15 Euro gab es definitiv nicht viel zu sehen, ganze Bereiche waren gesperrt, die Vogelflugshow gabs auch nicht, den Wölfen war es wohl noch zu kalt, den Eisbären zu warm, keine Affen, keine Steinböcke. Traurig. Im Sommer mag das ja eine Topadresse sein, aber jetzt Ende Februar, bzw. Anfang März ist tote Hose. Dann sollten sie den Park entweder schließen oder billigere Karten abgeben.",30,"Grünwald, Bayern, Germany",Reiseart: mit der Familie
Erlebnisdatum: Februar 2019,Wundervoll,Ich liebe den Tierpark Hellabrunn. Es gibt so viel zu sehen und auch jetzt im Februar sieht man fast alle Tiere.,50,"Südtirol, Italien",Reiseart: mit Freunden
Erlebnisdatum: Februar 2019,Anreisetipp Zoo,An Sonn- und Feiertagen gibt es einen Expressbus vom Bahnhof München zum Zoo. Kein Parkplatzstress - Zoo ist wunderschön - so macht´s Spaß...,50,Österreich,
Erlebnisdatum: Februar 2019,Nette Abwechslung,Auch für Erwachsene stellt der Besuch eine nette Abwechslung zur Großstadt dar. Die Gehäge bzw der gesamte Zoo sind sehr sauber und werden interessant präsetiert.,40,"Innsbruck, Österreich",Reiseart: allein
Erlebnisdatum: Februar 2019,Schöner Zoo,"Der Tierpark Hellabrunn liegt leicht ausserhalb von München, ist aber mit der U3 super leicht zu erreichen. Der Eintritt ist mit 15 Euro pro Erwachsenem sehr angemessen. Der Tierpark ist sehr liebevoll gestaltet und vor allem auch informativ. Es gibt zu jedem Tier am Gehege eine Kurzbeschreibung (in Deutsch und Englisch). In den einzlnen Häusern sind zudem noch weitere Infos, auch sehr kindergerecht zusammengefasst.Auf dem Gelände gibt es mehrere Restaurants/Imbisse, in welchen vor allem Standard-Menues (Schnipo, Currywurst etc.) angeboten werden. Durch die vielen Bäume gibt es zudem auch genügend Schattenplätze.",50,Schweiz,Reiseart: als Paar
Erlebnisdatum: Januar 2019,Zu jeder Jahreszeit schön ,Habe eine Jahreskarte für den Tierpark. Gehe sehr gerne dort spazieren. Besonders im Winter hat der Park eine wunderschöne ruhige Atmosphäre. Es gibt immer wieder neues zu entdecken,50,,Reiseart: als Paar
Erlebnisdatum: Januar 2019,Schönes Ausflugsziel besonders im Winter!,"Ich war mit meinem Partner im Januar 2019 zu Besuch im Tierpark. Es lag bereits Schnee und es hat auch weiterhin den ganzen Tag geschneit. Ich kann einen Besuch unter diesen Bedingungen nur empfehlen! Viele Tiere stört der Schnee nicht, sie wagen sich trotzdem nach draußen. Die meisten Tiere, denen es draußen nicht gefällt, kann man jedoch in den jeweiligen Häusern im Innengehege betrachten. Insgesamt waren vielleicht 4 oder 5 Tiere gar nicht zu sehen. Warm anziehen und richtiges Schuhwerk tragen ist wichtig, sonst wird es schnell zu kalt! Und man sollte sich wirklich den ganzen Tag Zeit für diesen Besuch nehmen. Das besondere bei diesem Wetter ist, dass nahezu keine anderen Personen im Tierpark sind. Es ist sehr ruhig und man kann jedes Tier ganz in Ruhe beobachten. Besonders lustig ist es, wenn die Tiere anfangen, mit dem Schnee zu spielen oder nach dem Schnee zu schnappen. Es war ein sehr angenehmer und entspannender Besuch!",50,,Reiseart: als Paar
Erlebnisdatum: Januar 2019,Schöner Tagesausflug,"Ich liebe unseren Münchner Tiergarten- das neue Mühlendorf steht für ein neues Konzept und ich finde die Idee klasse! Die Verpflegung ist gut, sanitäre Anlagen sind in ausreichender Zahl vorhanden und sauber.",50,"Augsburg, Deutschland",Reiseart: als Paar
Erlebnisdatum: Januar 2019,Toller Tierpark,"Sehr schöne Gehege und Anlagen für die Tiere, viele Tiere befinden sich in einem Gebäude weshalb ein Besuch im Winter sehr angenehm ist. Sehr zu empfehlen. Besonders für Kinder gibt es hier eine große Auswahl an Kletter- und Spielmöglichkeiten.",50,"Frankfurt am Main, Deutschland",Reiseart: als Paar
Erlebnisdatum: Dezember 2018,Münchner Institution,Der Tierpark Hellabrunn ist eine Institution in München und seit meiner Kindheit gehe ich sehr gerne hin. Er ist sehr groß und daher auch wirklich lohnend.,50,"München, Deutschland",Reiseart: allein
Erlebnisdatum: September 2018,Der Schönheit der Stadt angemessen,"Als einer der größten Tiergarten Europas bietet Hellabrunn für jedes Kind und jeden Erwachsenen genau des Richtige. Das in 2018 neu eröffnete Mühlendorf zeigt gerade auch deutsche Haustiere, während der Tierpark insgesamt hervorragende Auswahl an exotischen Tieren in einem äußerst gepflegten Ambiente bietet.",50,"München, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Dezember 2018,"Grosser Zoo, allerdings",Im Winter mit deutlich zu hohem Eintritt. Gerade Umstrukturierung mit einigen Baustellen. Traumhafte Anlage mit viel Wasser und tollen Anlagen.,40,"Dresden, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: November 2018,ZOO im Herbst hat auch mal etwas für sich,"Ich war eine Woche in München und bekam knapp nach der Hälfte der Zeit Probleme, was ich noch in München und Umgebung unternehmen könnte und entschied mich dann für den Tierpark Hellabrunn.Die Besucherzahl hielt sich in Grenzen. Vielleicht kann man das, was ich gesehen habe, auch den anderen Rest des Jahres sehen. Was mir eine gewisse Freude bereitet hat waren die meiner Meinung nach neugierigen Königspinguine, zwei miteinander kämpfende halbwüchsige Robben (so wie die ihr Scheingefecht mit angedeuteten Bissen und dem verschieben ihrer Massen), ein in der Anlage dösendes Panzernashorn (bei 14°C), einem Augsburger Hahn, der von einer seiner Hennen ständig getrietz und verfolgt wurde und noch ein paar andere Sachen.Bei den gut besuchten Pelikanen konnte ich es mir nicht verbeißen, was für heimtückische Vögel das sein können.",40,"Kronberg im Taunus, Deutschland",Reiseart: allein
Erlebnisdatum: August 2018,Immer wieder auf's Neue ein Erlebnis für jung und alt,"Schon seit meiner Kindheit besuche ich den Tierpark Hellabrunn in München immer mal wieder und nun war es endlich so weit, dass ich auch meiner kleinen Tochter die Welt der Tiere zeigen wollte. Auch wenn zur Ferienzeit viel los war an der Kasse, einen schöneren Ausflug kann man mit Kindern die Tiere lieben in München kaum machen. Und es tut sich auch immer was, ganz neu ist jetzt das Mühlendorf, auf dem das Landleben und die Nutzviehhaltung gezeigt werden.",50,"Bad Tölz, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: November 2018,auch im Herbst wunderschön,auch im Herbst sind die Spaziergänge in Hellabrunn wunderschön. Zuerst war es trüb und langsam kam die Sonne durch. Wir kommen immer sehr früh hierher und gehen stramm durch den Zoo. Ich liebe die Spaziergänge zu jeder Jahreszeit und Dank unserer Jahreskarte kommen wir fast wöchentlich hierher.,50,"München, Deutschland",Reiseart: mit Freunden
Erlebnisdatum: November 2018,Toller Ausflug in die Welt der tier,"Der Zoo Hellabrunn ist einer der schönsten und informativsten Tierparks die ich bis jetzt besucht habe. Informative Führung, spannende Geschichten. Planen sie genügend Zeit ein, am Besten den ganzen Tag",50,"Celerina, Schweiz",Reiseart: mit der Familie
Erlebnisdatum: November 2018,Wunderschöner Ausflug bei goldener Herbstsonne,"Beeindruckend, was dieser großartig angelegte Tierpark alles zu bieten hat.Wir würden jederzeit wieder reingehen!Unsere 6 Stunden dort sind wie im Flug vergangen und wir haben doch nicht alles geschafft, weil wir an einigen Stellen sehr intensiv mit beobachten und ausprobieren beschäftigt waren.Wer in München wohnt, sollte sich auf jeden Fall die Familien-Jahreskarte holen 😊",50,"Regensburg, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: November 2018,...einfach genial,"wir hatten einen wunderbaren tag im münchner zoo - die 5 stunden sind wie im ""fluge"" vergangen! es war einfach sensationell...",50,"Dornbirn, Österreich",Reiseart: mit der Familie
Erlebnisdatum: November 2018,Einer der schönsten Zoos,"Mit der U3 können Sie direkt zum Zoo (Haltestation Thalkirchen) anreisen. Preise liegen für Erwachsene bei 15.00 € und Kinder ab 4 Jahre zahlen 6.00 €. Die Tiere haben wirklich schöne und gepflegte Gehege. Elefanten, Löwen, Giraffen und sogar Pinguine und und und sind zu besichtigen . Eltern können für 5.00 euro einen Bollerwagen leihen. Sehr tolles Ausflugsziel. Der Zoo in München ist aus meiner Sicht einer der Schönsten.Gerne wieder.",50,"Selm, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Oktober 2018,Wunderbarer Tag im Tierpark,Sehr schön angelegte und sehr gepflegte Anlage.Man kann hier eine ganzen Tag verbringen.Sehr gute Info-Tafeln über die Tiere sowie sehr gute Informationen von den Tierpflegern zu bestimmten Zeiten.,50,,Reiseart: als Paar
Erlebnisdatum: Oktober 2018,Bester Zoo für mich bis jetzt!,"Ich bin wirklich begeistert von diesem Zoo! Tolle Parkanlage, viele Einkehrmöglichkeiten, unterschiedlichste Spielplätze und außerdem finde ich auch, dass die Tiere tolle und annebar große Gehe haben. Bis auf ein paar wenige Ausnahmen finde ich. Den Bauernhof habe ich auch absolut klasse gefunden! In allem ist Hellabrunn zu meinem Lieblingszoo geworden. Er hat mir am besten gefallen von den Zoos, die ich bereits besucht habe. :) Ich werde sicher wieder einmal hingehen, wenn ich nach München reise.",50,,Reiseart: als Paar
Erlebnisdatum: Oktober 2018,Sehr schöner Tierpark,"Die Hellabrunn ist ein sehr schöner Tierpark. Die Gehege sind toll und größtenteils möglichst artgerecht angelegt. Die beiden Löwen hatten etwas wenig Platz und liefen permanent im Kreis. Doch eine neue Löwenanlage ist in Planung. Der Tierpark ist sehr sauber, durch die gute Wegführung sehr übersichtlich und aufgrund der vielen Bäume sehr natürlich. Unser Fazit: egal ob jung oder alt, im Tierpark Hellabrunn kann jeder einen wunderschönen Tag verbringen. Wir empfehlen jedem den Besuch!",50,"Wetzlar, Deutschland",Reiseart: als Paar
Erlebnisdatum: Oktober 2018,Tierpark der besseren Art,"Dieser Tierpark hat uns begeistert. Die Tiere wirken alle sehr gepflegt. Die Gehege sind größten Teils weitläufig und schön angelegt. Hier wird den Tieren so viel wie möglich Platz geboten, und das spürt man bei dem Verhalten der Tiere, dass diese sich wohl fühlen. Die beiden Löwen sahen aus wie aus dem Photoshop ;-) Tolle Mähne, gepflegtes Fell, einfach schön anzusehen. Auch den Eisbären geht es gut in ihrem Gehege. Wir konnten zusehen, wie einer der Eisbären total begeistert mit einem Ball gespielt hat. Das zeigt, dass die Tiere gut behandelt werden. Der ganze Park ist weitläufig angelegt mit schönen Wegen zwischen den einzelnen Gehegen. Man sollte schon 5 Stunden Zeit mitbringen, wenn man in Ruhe alles anschauen möchte. Für Verpflegung ist ausreichend gesorgt. Es gibt mehrere Kioske, Biergärten und Imbisse. Die Preise dort sind fair. Wir können den Tierpark absolut empfehlen.",50,Plüderhausen,Reiseart: als Paar
Erlebnisdatum: Oktober 2018,Sehr schön ,"Wir hatten das Glück dass wir Wochentags ausserhalb der üblichen Ferien dort waren. Demzufolge hatte es recht wenig Gäste und man kam voll auf die Rechnung. Der Zoo ist in einem schönen Park. Die Auswahl der Tiere ist recht gross wobei darauf geachtet wurde, dass trotz des grossen Platzbedarfs einzelner Tiere man sie trotzdem zu Gesicht bekam. Speziell erwähnenswert sind die Falknerei, das Aquarium und das Restaurant. 3 Greifvögel wurden präsentiert, Steinadler, Uhu und Schleiereule. Das Aquarium hat eine recht grosse Auswahl an Fischen. Das Restaurant hat im Vergleich zu anderen Attraktionen in München eine gute und gesunde Küche. Der Preis ist zwar höher, dafür schmeckt es auch.",40,,Reiseart: mit der Familie
Erlebnisdatum: Oktober 2018,"Tiere aus nah und fern, ja die sehe ich gern","Schöne Anlage, mit so weit möglich Tiergerechten Gehegen. Sehr viele Bäume und Pflanzen, so das man nicht immer in der prallen Sonne laufen muss.",40,"Öhringen, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Oktober 2018,Wunderschöne und gepflegte Anlage,"Die Anreise ist mit der U3, Station Thalkirchen, am unbeschwertesten u. der Spaziergang zum Zoo nicht weit u. mit schöner Sicht auf die Isar. Der Eintritt für Erwachsene mit 13 EUR ist absolut in Ordnung. Mit dem Ticket erhält man einen sehr guten Plan, der auch Fütterungszeiten, Trainings, etc. beinhaltet. Das gesamte Personal im Tierpark war sehr freundlich u. die Gehege sehr gepflegt. Alle Gehege sind zweisprachig u. sehr gut beschildert.In der Anlage gibt es ausreichend u. gut verteilt Gastronomiebetriebe wie Cafe, Bistro, Fish&Chips, einen Bioladen, Toiletten, Spielplätze u. Plätze zum Rasten.",50,"Oberösterreich, Österreich",Reiseart: allein
Erlebnisdatum: September 2018,Schöner Park,"Der Tierpark ist schön aufgebaut, hat sehr viel Wald und Grünfläche und ist immer gut besucht. Der Park selbst wird vom Personal stets sauber gehalten. Für Kinder gibt es diverse Spiel- aber auch Lernmöglichkeiten. Es gibt mehrere Restaurants, allerdings hat man je nachdem wo man sich befindet, auch mal den nicht so angenehmen Geruch der Tiere beim Essen. Es gibt hier viel zu sehen. Leider sind nicht alle Besucher rücksichtsvoll und daher wird dann doch viel mit Blitz fotografiert oder unnötiger Lärm gemacht. Für die Tiere ist das nicht so toll.",30,,Reiseart: als Paar
Erlebnisdatum: Mai 2018,Immer was Neues!,"Immer ein schönes Erlebnis in Tierpark Hellabrunn,bin ca,4 bis 6 mal im Jahr da .Sehr schön Gehegen,und sauber.",50,"München, Deutschland",Reiseart: als Paar
Erlebnisdatum: September 2018,Urlaub in München,"Es sind vielleicht 2 Jahre vergangen seit unserem letzten Besuch, aber es ist viel passiert. Genial was an Zäunen, viel mit Holz oder Bambus, viel mit Bepflanzungen hier gemacht wurde. Man hört und liest immer nur von den Tiergehegen, aber man muss das drumherum sehen, das kleine, das unscheinbare... Betonboden mit Tierspuren oder Blattspuren... Da hat sich echt wer Gedanken gemacht. Hut ab - sehr gelungen... Dieser Tierpark ist einzigartig ❗",50,"Dachau, Deutschland",Reiseart: als Paar
Erlebnisdatum: Juli 2018,"Wunderschön angelegter, großer Tierpark in München :)","Hier werden sehr viele Tiere in einer sehr schön gestalteten Umgebung gezeigt. Die Aufteilung nach Kontinenten (als Geo-Zoo) ist super. Unser Highlight war die Fledermaushöhle, in der die Fledermäuse frei um einen herum fliegen *-*Die Safari und Affenhäuser sind auch sehr schön, auch die Lemuren hatten gerade Nachwuchs als wir im Zoo waren.Der Zoo wird weiterhin ausgebaut und umgestaltet. Hier kann sehr kurzweilig viele Stunden verbringen :)",50,"München, Deutschland",Reiseart: mit Freunden
Erlebnisdatum: August 2018,Ich liebe diesen Tierpark ,Hellabrunn ist einfach toll und ich bin seit meiner Kindheit ein treuer Tierpark Besucher. Mittlerweile besitzen eine Jahreskarte (49€) was ich jedem Münchner nur empfehlen kann. Man kann zur jeder Jahreszeit was neues entdecken und es wird niemals langweilig.,50,"Bayern, Deutschland",
Erlebnisdatum: August 2018,Empfehlenswert,"Empfehlenswerter Tierpark.Die Eintrittspreise sind im Rahmen.Bei gutem Wetter bekommt man schon ziemlich viele Tiere zu sehen,was für Kinder natürlich ein absolutes Muss ist.Die Greifvogelshow ist auch recht interessant.Alles in allem ein Park, der sich für einen weiteren Besuch lohnt.",40,"Aalen, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: August 2018,"Tolle, große Gehege - zentral gelegen - eine Perle mitten in München","Der Tierpark Hellabrunn ist eine Oase mitten in München. Die Gehe sind groß und modern, der Park vermittelt Wissen ohne zu belehren. Mit der U-Bahn schnell und einfach erreichbar. Günstiger Eintritt.",50,Regensburg,Reiseart: mit Freunden
Erlebnisdatum: August 2018,Ein lohnender Besuch im Tierpark Hellabrunn,"Der Tierpark Hellabrunn im Landschaftsschutzgebiet der Isarauen gelegen ist für mich der schönste der bisherigen besuchten Zoos. Ein Zoo, der seine Aufgabe ernst nimmt. Der Tierpark Hellabrunn versteht sich wie auf der Internetseite Hellabrunn.de geschrieben, als Bildungs- und Naturschutzeinrichtung. Und der Tierpark unterstützt auch weltweit verschiedene Artenschutzprojekte. Das kann ich sehr begrüßen und es freut mich, dass sich diesbezüglich viel getan hat. Das Dschungelzelt und die Großvoliere sind wunderschön, das neu gestaltete Elefantenhaus grandios. An vielen Infoständen kann man sich über  Artenschutz informieren. Nicht nur im Sommer sondern auch in den anderen Jahreszeiten wo es etwas ruhiger hergeht kann man da die Tierwelt bestaunen und die Seele baumeln lassen. Es waren viele notwendige Bauarbeiten die letzten Monate. Das neue Mühlendorf ist jetzt zu bestaunen und die Polarwelt wieder zugänglich. An der Gastronomie gäbe es meiner Meinung nach noch etwas zu verbessern (Preise und Angebot) aber dann sucht man sich halt das passende raus. Hauptsächlich bin ich wegen der Tiere dort (über 750 Arten sind zu bestaunen). Ein schöner Ort in München, den ich gerne weiterempfehle. lg reiner b.",40,,
Erlebnisdatum: August 2018,Toller Ausflug ,Wirklich herrlich - wunderschöne und teils wundersame Parklandschaft und jeden Augenblick eine neue Tierbegegnung. Besonders faszinierend für uns  - die Orang Utans mit Ihrem Nachwuchs!,50,,Reiseart: mit der Familie
Erlebnisdatum: August 2018,Ein Traum,"Gepflegte Anlage, super ausgeschildert, viele Sitzmöglichkeiten, saubere Gehege, tolle Tiere von Kamelen bis Eisbären und empfehlenswert der neue Bauernhof. Sehr gut erreichbar, ob mit Auto, oder Öffis.",50,"Brixlegg, Österreich",Reiseart: als Paar
