date,title,text,rating,visitor_origin,visit
Erlebnisdatum: Juni 2020,Unterstützungsmassnahme zu viert,"Wir haben zu viert die Online-Tickets gekauft. Wer möchte, dass es den Zoo noch gibt, sollte es auch als Unterstützungsmassnahme sehen. Wir hatten Glück mit dem Wetter, trocken und ausreichend Tiere draussen. Die Häuser waren noch zu, auch verständlich. Snack- und Imbissstationen sind offen und da nicht so viel los ist, alles entspannt. Unterstützen Sie Ihren Tierpark, wenn Sie seine Güte und die Grösse schätzen.",50,"München, Deutschland",Reiseart: mit Freunden
Erlebnisdatum: Juni 2020,Einfach nur toll ein Besuch lohnt sich.,"Der Tierpark ist einfach nur toll. Die Anlagen mit den alten Bäumen und die Tiere einfach Klasse. Man fühlt sich so richtig wohl und möchte gar nicht mehr rausgehen. Corona machte es ja nicht möglich in Häuser zugehen, aber die Tiere waren alle draussen so hat man nicht das Gefühl gehabt irgend etwas versäumt zu haben. Immer wieder gerne wir eun Besuch eingeplant wenn wir in München sind.",50,,
Erlebnisdatum: Juni 2020,Schlimm,"Hier steht sicher nicht das Tierwohl im Vordergrund, sondern die Gewinnmaximierung. Schlimm abzusehen und sehr schade.",10,,
Erlebnisdatum: Februar 2020,Schlechter Umgang mit Kunden und reine Umsatzgier,Unfassbar wie wenig Sozialkompetenz und Feingefühl bei den Mitarbeitern des Tierpark Hellabrunn vorherrscht. Nicht zu empfehlen hier jemals auch nur einen Cent reinzustecken.,10,,Reiseart: mit Freunden
Erlebnisdatum: März 2020,Sehenswert,Nach langer Zeit mal wieder eien Zoobesuch gemacht. Unbedingt die Fledermaushöhle besuchen-mitten drin.,40,Sta. Maria,
Erlebnisdatum: Februar 2020,Lohnenswert,"Waren Anfang Februar bei schlechtem Wetter dort. Trotzdem oder gerade deswegen war der Zoo einen Ausflug wert. Sehr leer, gefühlt 50 Besucher. Sehr kindgerecht, leider konnten wir die Spielplätze nicht nutzen. Insgesamt tolle Anlagen für die Tiere.",40,"Würzburg, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Februar 2020,Familienausflug,Schöner Tierpark mit vielen verschiedenen Tieren. Für die Kinder gibts viele Spielmöglichkeiten. Toll,40,"Unterseen, Schweiz",Reiseart: mit der Familie
Erlebnisdatum: Februar 2020,immer wieder gerne,"Dank meiner Jahreskarte kann ich auch für kurze Aufenthalte in den Tierpark gehen. meine bevorzugte Zeit ist früh am Morgen. Weniger Menschen, die Tiere die frühstücken und teilweise noch die Stille.  Wir gehen auch immer gerne an Heiligabend. Ich finde den Zoo toll zu jeder Jahreszeit. Mühlendorf ist schön geworden und nun im Winter renoviert man das große Restaurant daneben.",50,"München, Deutschland",
Erlebnisdatum: Februar 2020,Tolle Tiere,Man kann dort viele verschiedene Tiere sehen von Mäusen bis zu Giraffen .Es gibt sogar einen Streichelzoo und zwei Spielplätze für die Kinder.,50,"München, Deutschland",Reiseart: mit Freunden
Erlebnisdatum: Dezember 2019,Museumsalternative,"Da alle anderen Museen an Silvester geschlossen haben wir uns den Tierpark Hellabrunn vorgenommen. Anreise mit U-Bahn problemlos. Schöner sonniger Tag. Waren zum ersten mal da. Schöner Zoo, leider haben sich viele Tiere aufgrund der Aussentemperaturen in geschütze Bereiche verzogen. Allerdings gibt es hier viele Großtiere. Elefanten-, Giraffen- Nashornhaus, Affenhaus sehenswert. Such die Seelöwenshow sehenswert. Zum Schluss noch Kaffee im Bayrischen Wirtshaus..In Summe empfehlenswert , nicht ganz so Großzügig angelegt wie Nürnberg, aber sehr Stadtnah.",30,"Fürth, Deutschland",Reiseart: als Paar
