,country,flux density,latitude,longitude
18,United Kingdom,12.5,54.7023545,-3.2765753
13,Norway,6.25,64.5731537,11.52803643954819
9,Italy,12.5,42.6384261,12.674297
8,Israel,6.25,31.5313113,34.8667654
7,India,6.25,22.3511148,78.6677428
6,Germany,25.0,51.0834196,10.4234469
5,France,6.25,46.603354,1.8883335
3,Denmark,12.5,55.670249,10.3333283
1,Croatia,6.25,45.5643442,17.0118954
0,Belgium,6.25,50.6402809,4.6667145
