place_name,provenance_EU apart from GER,provenance_Munich,provenance_Outisde EU,provenance_outside Munich,visit_Traveled as a couple,visit_Traveled on business,visit_Traveled solo,visit_Traveled with family,visit_Traveled with friends
Munchener Tierpark Hellabrunn,0,0,1,0,0,0,0,1,0
Munchener Tierpark Hellabrunn,0,0,0,1,0,0,0,1,0
Marienplatz,1,0,0,0,0,0,0,0,0
Marienplatz,1,0,0,0,0,0,1,0,0
Olympiapark,1,0,0,0,0,0,0,0,0
Deutsches Museum,0,0,1,0,0,0,0,1,0
Allianz Arena,1,0,0,0,0,0,0,0,1
Olympiapark,0,0,1,0,0,0,0,1,0
Marienplatz,0,0,1,0,0,0,0,1,0
Allianz Arena,1,0,0,0,1,0,0,0,0
Allianz Arena,0,0,1,0,0,0,0,1,0
Allianz Arena,0,0,1,0,0,0,0,1,0
Allianz Arena,0,0,1,0,0,0,0,1,0
Allianz Arena,0,0,1,0,0,0,1,0,0
Allianz Arena,0,0,1,0,0,0,0,0,0
