DATE,Alte Pinakothek,Ausland,Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsorchester,Deutsches Museum,Deutsches Museum - Museumsinsel,Deutsches Museum - Verkehrszentrum,Inland,Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Philharmoniker,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Residenztheater,Schackgalerie,Schauburg - Theater für junges Publikum,Staedtische Galerie im Lenbachhaus,Theater am Gaertnerplatz,Tierpark Hellabrunn,Kinos
2000-01-01,0.0208477129071926,0.0,0.051625505060252055,0.020732581866890563,0.002670590404381118,0.05554892802322895,0.05554892802322895,0.0,0.0,0.004137521760854516,0.0,0.0,0.0,0.01735537470265568,0.009567569341349887,0.04673699607998643,0.018961542660994358,0.04799345350340766,0.03642818072056693,0.006164007962420869,0.024787353192527988,0.0,0.0,0.01684744893344817,0.003444936596537564,0.003079395543578591,0.011411464908687226,0.017562790467449824,0.02971190354919722,0.4988358137911629
2000-02-01,0.01602645235441082,0.0,0.04447180142952969,0.012397178382835675,0.0005104538199132588,0.04600205486045855,0.04600205486045855,0.0,0.0,0.04447180142952969,0.0,0.0,0.0,0.012819767200960588,0.012218194119933485,0.03447655308266601,0.013664015048831695,0.029855504840464012,0.0664798690779563,0.13403441855697468,0.025450632396312713,0.0,0.0,0.015364830440591856,0.0012033011267839878,0.003706446407008296,0.010408206076039477,0.014641300117223609,0.03067604308467795,0.38511912128643916
2000-03-01,0.021060498755164945,0.0,0.005122291558786609,0.003015847660842516,0.0032703861490714506,0.0780353537411208,0.0780353537411208,0.0,0.0,0.00023641345655938198,0.0,0.0,0.0,0.02317308940297958,0.014224997681178013,0.04001510524378443,0.020047073071380393,0.03132241885955252,0.049331607935391035,0.1925595484124718,0.03491511535439992,0.0,0.0,0.01545773624816415,0.001050463791978854,0.0030650216598068674,0.015199809167057864,0.015385078512514899,0.03555106755254466,0.31992572204412845
2000-04-01,0.011579201983520755,0.0,0.0011060730252915349,0.0024133130820579675,0.0031740148052022206,0.0773829427363182,0.0773829427363182,0.0,0.0,0.0005530365126457674,0.0,0.0,0.0,0.014574655124702473,0.007155601177995423,0.03542620553837033,0.009876540820212599,0.021040274123608222,0.012028544150045442,0.24119581426019854,0.05624588722299697,0.0,0.0,0.010912792985782606,0.0005627146516170683,0.0022104178114810517,0.011668379121184886,0.012015409532870105,0.10542465911002184,0.2860705794875577
2000-05-01,0.018592356621152897,0.0,0.001528186749660306,0.001958698788278895,0.0004607264737833014,0.0802533820955894,0.0802533820955894,0.0,0.0,0.0003929623070555072,0.0,0.0,0.0,0.012978235127686552,0.012089267064169872,0.04007822569659118,0.012579160073632405,0.005273554160684907,0.08479253336686611,0.20127092742597463,0.06312983125325286,0.0,0.0,0.012761407259149036,0.0005125974983146283,0.0047172941838085555,0.01228662146726886,0.015892443596810194,0.07241247419547517,0.26578573249920534
2000-06-01,0.031474835591333156,0.0,0.04322096363022405,0.005587694836502299,0.006815945964486332,0.08407031540996913,0.08407031540996913,0.0,0.0,0.0011082298366724115,0.0,0.0,0.0,0.021558505835772086,0.016336416022388018,0.03175477444807661,0.019973626346346873,0.010714366060948874,0.053195032160275754,0.02263337795436066,0.08132079718518488,0.0,0.0,0.0168794486423575,0.0008356052968509982,0.0033300090132332622,0.014031297962109402,0.017146642855979218,0.11092161612270499,0.3230201834142545
2000-07-01,0.023714579400178237,0.0,0.06471728037851454,0.006466627168462014,0.0059570503164570006,0.09218418682329926,0.09218418682329926,0.0,0.0,0.03659620658829875,0.0,0.0,0.0,0.012333647140195407,0.016876226374960817,0.036567941370290166,0.01516552230347752,0.008658725788573669,0.014346195157798789,0.12620188478147176,0.0625851169737288,0.0,0.0,0.01081148395351927,0.001115177570266226,0.0024300541771290107,0.01150182286451255,0.012070228629785948,0.0737005489819913,0.27381530643378976
2000-08-01,0.01622485475815495,0.0,0.24948826029050805,0.0034517052584226906,0.006236188860343465,0.05954272749171861,0.05954272749171861,0.0,0.0,0.03106211644742156,0.0,0.0,0.0,0.00622268972165386,0.007392645630300087,0.010266126300187299,0.013805197465836376,0.012058238454518026,0.002597708567016136,0.15862582650913157,0.05972294352355535,0.0,0.0,0.01025546312864734,0.0006840632559809158,0.010250186343704339,0.007122592177187368,0.010244964770892172,0.07991904525353621,0.18528372829956508
2000-09-01,0.024385972843340452,0.0,0.0966355017757329,0.009877148780512254,0.009149896840872125,0.06436067346697004,0.06436067346697004,0.0,0.0,0.0035732108298340017,0.0,0.0,0.0,0.022205917213716172,0.009559530040082566,0.019376887092708933,0.011674870851344296,0.015875378693526933,0.00881392004692387,0.21036842034879594,0.06276225715575763,0.0,0.0,0.0009546825290465378,0.000891714613756352,0.015039337285151659,0.00971833941029741,0.005240550407719655,0.06976892656963657,0.26540618973730357
2000-10-01,0.02683222153739982,0.0,0.00010641232135499491,0.012619082481750997,0.0037101010548156827,0.07028250059307134,0.07028250059307134,0.0,0.0,0.00042564928541997965,0.0,0.0,0.0,0.008541929859808152,0.016034917997246333,0.03616351799701932,0.021051904241396493,0.023680288578864866,0.08683245422567584,0.15537617748780658,0.0439298439172447,0.0,0.0,0.014363464194949644,0.0034243485012037363,0.0022039410583570844,0.020152365418208938,0.01277621800961854,0.051136795734880655,0.320073364910835
