MONATSZAHL,AUSPRAEGUNG,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT,DATE
Besucher*innen,Münchner Philharmoniker,,,,,,2017-08-01
Besucher*innen,Münchner Philharmoniker,4410.0,18131.0,,-75.68,15876.0,2017-09-01
Besucher*innen,Münchner Philharmoniker,23412.0,11831.0,430.88,97.89,16929.0,2017-10-01
Besucher*innen,Münchner Philharmoniker,4045.0,30128.0,-82.72,-86.57,14557.0,2017-11-01
Besucher*innen,Münchner Philharmoniker,15110.0,17624.0,273.55,-14.26,14329.0,2017-12-01
Besucher*innen,Münchner Philharmoniker,17974.0,18443.0,6.98,-2.54,18156.0,2016-01-01
Besucher*innen,Münchner Philharmoniker,18203.0,23885.0,1.27,-23.79,17640.0,2016-02-01
Besucher*innen,Münchner Philharmoniker,21412.0,17453.0,17.63,22.68,18000.0,2016-03-01
Besucher*innen,Münchner Philharmoniker,23154.0,22668.0,8.14,2.14,18044.0,2016-04-01
Besucher*innen,Münchner Philharmoniker,1101.0,15455.0,-95.24,-92.88,16739.0,2016-05-01
Besucher*innen,Münchner Philharmoniker,19710.0,15689.0,1690.19,25.63,17104.0,2016-06-01
Besucher*innen,Münchner Philharmoniker,15892.0,12167.0,-19.37,30.62,17443.0,2016-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2016-08-01
Besucher*innen,Münchner Philharmoniker,18131.0,15585.0,,16.34,17674.0,2016-09-01
Besucher*innen,Münchner Philharmoniker,11831.0,19195.0,-34.75,-38.36,17005.0,2016-10-01
Besucher*innen,Münchner Philharmoniker,30128.0,22845.0,154.65,31.88,17667.0,2016-11-01
Besucher*innen,Münchner Philharmoniker,17624.0,16802.0,-41.5,4.89,17742.0,2016-12-01
Besucher*innen,Münchner Philharmoniker,18443.0,23062.0,44.99,-20.03,15886.0,2015-01-01
Besucher*innen,Münchner Philharmoniker,23885.0,18565.0,29.51,28.66,16369.0,2015-02-01
Besucher*innen,Münchner Philharmoniker,17453.0,17400.0,-26.93,0.3,16374.0,2015-03-01
Besucher*innen,Münchner Philharmoniker,22668.0,15490.0,29.88,46.34,17027.0,2015-04-01
Besucher*innen,Münchner Philharmoniker,15455.0,9157.0,-31.82,68.78,17599.0,2015-05-01
Besucher*innen,Münchner Philharmoniker,15689.0,21454.0,1.51,-26.87,17075.0,2015-06-01
Besucher*innen,Münchner Philharmoniker,12167.0,12395.0,-22.45,-1.84,17054.0,2015-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2015-08-01
Besucher*innen,Münchner Philharmoniker,15585.0,14080.0,,10.69,17191.0,2015-09-01
Besucher*innen,Münchner Philharmoniker,19195.0,2586.0,23.16,642.27,18701.0,2015-10-01
Besucher*innen,Münchner Philharmoniker,22845.0,32451.0,19.02,-29.6,17828.0,2015-11-01
Besucher*innen,Münchner Philharmoniker,16802.0,12720.0,-26.45,32.09,18199.0,2015-12-01
Besucher*innen,Münchner Philharmoniker,23062.0,23160.0,30.26,-0.42,17563.0,2014-01-01
Besucher*innen,Münchner Philharmoniker,18565.0,19664.0,-19.5,-5.59,17463.0,2014-02-01
Besucher*innen,Münchner Philharmoniker,17400.0,13754.0,-6.28,26.51,17794.0,2014-03-01
Besucher*innen,Münchner Philharmoniker,15490.0,7088.0,-10.98,118.54,18558.0,2014-04-01
Besucher*innen,Münchner Philharmoniker,9157.0,15241.0,-40.88,-39.92,18005.0,2014-05-01
Besucher*innen,Münchner Philharmoniker,21454.0,22493.0,134.29,-4.62,17911.0,2014-06-01
Besucher*innen,Münchner Philharmoniker,12395.0,15079.0,-42.23,-17.8,17667.0,2014-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2014-08-01
Besucher*innen,Münchner Philharmoniker,14080.0,14219.0,,-0.98,17654.0,2014-09-01
Besucher*innen,Münchner Philharmoniker,2586.0,25836.0,-81.63,-89.99,15540.0,2014-10-01
Besucher*innen,Münchner Philharmoniker,32451.0,19050.0,1154.87,70.35,16759.0,2014-11-01
Besucher*innen,Münchner Philharmoniker,12720.0,17704.0,-60.8,-28.15,16305.0,2014-12-01
Besucher*innen,Münchner Philharmoniker,23160.0,13484.0,73.17,71.76,20339.0,2013-01-01
Besucher*innen,Münchner Philharmoniker,19664.0,22450.0,-15.09,-12.41,20086.0,2013-02-01
Besucher*innen,Münchner Philharmoniker,13754.0,16490.0,-30.05,-16.59,19837.0,2013-03-01
Besucher*innen,Münchner Philharmoniker,7088.0,21467.0,-48.47,-66.98,18530.0,2013-04-01
Besucher*innen,Münchner Philharmoniker,15241.0,9876.0,115.03,54.32,19018.0,2013-05-01
Besucher*innen,Münchner Philharmoniker,22493.0,22401.0,47.58,0.41,19026.0,2013-06-01
Besucher*innen,Münchner Philharmoniker,15079.0,25503.0,-32.96,-40.87,18078.0,2013-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2013-08-01
Besucher*innen,Münchner Philharmoniker,14219.0,24366.0,,-41.64,17156.0,2013-09-01
Besucher*innen,Münchner Philharmoniker,25836.0,19020.0,81.7,35.84,17776.0,2013-10-01
Besucher*innen,Münchner Philharmoniker,19050.0,25623.0,-26.27,-25.65,17178.0,2013-11-01
Besucher*innen,Münchner Philharmoniker,17704.0,13374.0,-7.07,32.38,17572.0,2013-12-01
Besucher*innen,Münchner Philharmoniker,13484.0,19037.0,-36.44,-29.17,18700.0,2012-01-01
Besucher*innen,Münchner Philharmoniker,22450.0,7840.0,66.49,186.35,20028.0,2012-02-01
Besucher*innen,Münchner Philharmoniker,16490.0,25433.0,-26.55,-35.16,19215.0,2012-03-01
Besucher*innen,Münchner Philharmoniker,21467.0,27558.0,30.18,-22.1,18661.0,2012-04-01
Besucher*innen,Münchner Philharmoniker,9876.0,25914.0,-53.99,-61.89,17203.0,2012-05-01
Besucher*innen,Münchner Philharmoniker,22401.0,16004.0,126.82,39.97,17785.0,2012-06-01
Besucher*innen,Münchner Philharmoniker,25503.0,14838.0,13.85,71.88,18754.0,2012-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2012-08-01
Besucher*innen,Münchner Philharmoniker,24366.0,13532.0,,80.06,19739.0,2012-09-01
Besucher*innen,Münchner Philharmoniker,19020.0,16278.0,-21.94,16.84,19989.0,2012-10-01
Besucher*innen,Münchner Philharmoniker,25623.0,23604.0,34.72,8.55,20172.0,2012-11-01
Besucher*innen,Münchner Philharmoniker,13374.0,21213.0,-47.8,-36.95,19459.0,2012-12-01
Besucher*innen,Münchner Philharmoniker,19037.0,9930.0,-0.65,91.71,17265.0,2011-01-01
Besucher*innen,Münchner Philharmoniker,7840.0,11788.0,-58.82,-33.49,16906.0,2011-02-01
Besucher*innen,Münchner Philharmoniker,25433.0,16857.0,224.4,50.88,17685.0,2011-03-01
Besucher*innen,Münchner Philharmoniker,27558.0,16980.0,8.36,62.3,18647.0,2011-04-01
Besucher*innen,Münchner Philharmoniker,25914.0,21927.0,-5.97,18.18,19010.0,2011-05-01
Besucher*innen,Münchner Philharmoniker,16004.0,25053.0,-38.24,-36.12,18187.0,2011-06-01
Besucher*innen,Münchner Philharmoniker,14838.0,13189.0,-7.29,12.5,18337.0,2011-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2011-08-01
Besucher*innen,Münchner Philharmoniker,13532.0,9362.0,,44.54,18716.0,2011-09-01
Besucher*innen,Münchner Philharmoniker,16278.0,11959.0,20.29,36.12,19109.0,2011-10-01
Besucher*innen,Münchner Philharmoniker,23604.0,24599.0,45.01,-4.04,19018.0,2011-11-01
Besucher*innen,Münchner Philharmoniker,21213.0,19161.0,-10.13,10.71,19205.0,2011-12-01
Besucher*innen,Münchner Philharmoniker,9930.0,6996.0,-47.39,41.94,20265.0,2010-01-01
Besucher*innen,Münchner Philharmoniker,11788.0,25190.0,18.71,-53.2,19047.0,2010-02-01
Besucher*innen,Münchner Philharmoniker,16857.0,22008.0,43.0,-23.41,18579.0,2010-03-01
Besucher*innen,Münchner Philharmoniker,16980.0,26696.0,0.73,-36.39,17695.0,2010-04-01
Besucher*innen,Münchner Philharmoniker,21927.0,23409.0,29.13,-6.33,17561.0,2010-05-01
Besucher*innen,Münchner Philharmoniker,25053.0,22405.0,14.26,11.82,17801.0,2010-06-01
Besucher*innen,Münchner Philharmoniker,13189.0,19180.0,-47.36,-31.24,17257.0,2010-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2010-08-01
Besucher*innen,Münchner Philharmoniker,9362.0,8163.0,,14.69,17366.0,2010-09-01
Besucher*innen,Münchner Philharmoniker,11959.0,23669.0,27.74,-49.47,16301.0,2010-10-01
Besucher*innen,Münchner Philharmoniker,24599.0,23395.0,105.69,5.15,16411.0,2010-11-01
Besucher*innen,Münchner Philharmoniker,19161.0,18873.0,-22.11,1.53,16437.0,2010-12-01
Besucher*innen,Münchner Philharmoniker,6996.0,26317.0,-59.74,-73.42,16035.0,2009-01-01
Besucher*innen,Münchner Philharmoniker,25190.0,15921.0,260.06,58.22,16878.0,2009-02-01
Besucher*innen,Münchner Philharmoniker,22008.0,16308.0,-12.63,34.95,17396.0,2009-03-01
Besucher*innen,Münchner Philharmoniker,26696.0,20979.0,21.3,27.25,17916.0,2009-04-01
Besucher*innen,Münchner Philharmoniker,23409.0,22510.0,-12.31,3.99,17997.0,2009-05-01
Besucher*innen,Münchner Philharmoniker,22405.0,22437.0,-4.29,-0.14,17995.0,2009-06-01
Besucher*innen,Münchner Philharmoniker,19180.0,16422.0,-14.39,16.79,18245.0,2009-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2009-08-01
Besucher*innen,Münchner Philharmoniker,8163.0,7547.0,,8.16,18301.0,2009-09-01
Besucher*innen,Münchner Philharmoniker,23669.0,10034.0,189.95,135.89,19541.0,2009-10-01
Besucher*innen,Münchner Philharmoniker,23395.0,19855.0,-1.16,17.83,19863.0,2009-11-01
Besucher*innen,Münchner Philharmoniker,18873.0,17378.0,-19.33,8.6,19999.0,2009-12-01
Besucher*innen,Münchner Philharmoniker,26317.0,12258.0,4.72,114.69,19467.0,2008-01-01
Besucher*innen,Münchner Philharmoniker,15921.0,25047.0,-39.5,-36.44,18638.0,2008-02-01
Besucher*innen,Münchner Philharmoniker,16308.0,27218.0,2.43,-40.08,17646.0,2008-03-01
Besucher*innen,Münchner Philharmoniker,20979.0,14773.0,28.64,42.01,18210.0,2008-04-01
Besucher*innen,Münchner Philharmoniker,22510.0,14213.0,7.3,58.38,18964.0,2008-05-01
Besucher*innen,Münchner Philharmoniker,22437.0,28048.0,-0.32,-20.0,18454.0,2008-06-01
Besucher*innen,Münchner Philharmoniker,16422.0,14839.0,-26.81,10.67,18598.0,2008-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2008-08-01
Besucher*innen,Münchner Philharmoniker,7547.0,8015.0,,-5.84,18555.0,2008-09-01
Besucher*innen,Münchner Philharmoniker,10034.0,19893.0,32.95,-49.56,17659.0,2008-10-01
Besucher*innen,Münchner Philharmoniker,19855.0,10645.0,97.88,86.52,18496.0,2008-11-01
Besucher*innen,Münchner Philharmoniker,17378.0,25131.0,-12.48,-30.85,17792.0,2008-12-01
Besucher*innen,Münchner Philharmoniker,12258.0,21872.0,-47.59,-43.96,18171.0,2007-01-01
Besucher*innen,Münchner Philharmoniker,25047.0,27148.0,104.33,-7.74,17980.0,2007-02-01
Besucher*innen,Münchner Philharmoniker,27218.0,18037.0,8.67,50.9,18815.0,2007-03-01
Besucher*innen,Münchner Philharmoniker,14773.0,18349.0,-45.72,-19.49,18490.0,2007-04-01
Besucher*innen,Münchner Philharmoniker,14213.0,13448.0,-3.79,5.69,18559.0,2007-05-01
Besucher*innen,Münchner Philharmoniker,28048.0,24560.0,97.34,14.2,18876.0,2007-06-01
Besucher*innen,Münchner Philharmoniker,14839.0,16925.0,-47.09,-12.32,18687.0,2007-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2007-08-01
Besucher*innen,Münchner Philharmoniker,8015.0,6813.0,,17.64,18796.0,2007-09-01
Besucher*innen,Münchner Philharmoniker,19893.0,18451.0,148.2,7.82,18927.0,2007-10-01
Besucher*innen,Münchner Philharmoniker,10645.0,20506.0,-46.49,-48.09,18031.0,2007-11-01
Besucher*innen,Münchner Philharmoniker,25131.0,23387.0,136.08,7.46,18189.0,2007-12-01
Besucher*innen,Münchner Philharmoniker,21872.0,11888.0,30.24,83.98,18514.0,2006-01-01
Besucher*innen,Münchner Philharmoniker,27148.0,15465.0,24.12,75.54,19576.0,2006-02-01
Besucher*innen,Münchner Philharmoniker,18037.0,16847.0,-33.56,7.06,19685.0,2006-03-01
Besucher*innen,Münchner Philharmoniker,18349.0,20609.0,1.73,-10.97,19479.0,2006-04-01
Besucher*innen,Münchner Philharmoniker,13448.0,26412.0,-26.71,-49.08,18301.0,2006-05-01
Besucher*innen,Münchner Philharmoniker,24560.0,27493.0,82.63,-10.67,18034.0,2006-06-01
Besucher*innen,Münchner Philharmoniker,16925.0,11276.0,-31.09,50.1,18548.0,2006-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2006-08-01
Besucher*innen,Münchner Philharmoniker,6813.0,4133.0,,64.84,18791.0,2006-09-01
Besucher*innen,Münchner Philharmoniker,18451.0,25858.0,170.82,-28.64,18118.0,2006-10-01
Besucher*innen,Münchner Philharmoniker,20506.0,16900.0,11.14,21.34,18446.0,2006-11-01
Besucher*innen,Münchner Philharmoniker,23387.0,16793.0,14.05,39.27,19045.0,2006-12-01
Besucher*innen,Münchner Philharmoniker,11888.0,25100.0,-35.44,-52.64,18528.0,2005-01-01
Besucher*innen,Münchner Philharmoniker,15465.0,17954.0,30.09,-13.86,18302.0,2005-02-01
Besucher*innen,Münchner Philharmoniker,16847.0,25122.0,8.94,-32.94,17549.0,2005-03-01
Besucher*innen,Münchner Philharmoniker,20609.0,24328.0,22.33,-15.29,17211.0,2005-04-01
Besucher*innen,Münchner Philharmoniker,26412.0,14575.0,28.16,81.21,18287.0,2005-05-01
Besucher*innen,Münchner Philharmoniker,27493.0,10721.0,4.09,156.44,19812.0,2005-06-01
Besucher*innen,Münchner Philharmoniker,11276.0,20441.0,-58.99,-44.84,18979.0,2005-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2005-08-01
Besucher*innen,Münchner Philharmoniker,4133.0,11888.0,,-65.23,18274.0,2005-09-01
Besucher*innen,Münchner Philharmoniker,25858.0,19903.0,525.65,29.92,18815.0,2005-10-01
Besucher*innen,Münchner Philharmoniker,16900.0,28571.0,-34.64,-40.85,17754.0,2005-11-01
Besucher*innen,Münchner Philharmoniker,16793.0,18415.0,-0.63,-8.81,17607.0,2005-12-01
Besucher*innen,Münchner Philharmoniker,25100.0,24182.0,0.33,3.8,20058.0,2004-01-01
Besucher*innen,Münchner Philharmoniker,17954.0,16042.0,-28.47,11.92,20231.0,2004-02-01
Besucher*innen,Münchner Philharmoniker,25122.0,30000.0,39.92,-16.26,19788.0,2004-03-01
Besucher*innen,Münchner Philharmoniker,24328.0,20886.0,-3.16,16.48,20101.0,2004-04-01
Besucher*innen,Münchner Philharmoniker,14575.0,21767.0,-40.09,-33.04,19447.0,2004-05-01
Besucher*innen,Münchner Philharmoniker,10721.0,15431.0,-26.44,-30.52,19019.0,2004-06-01
Besucher*innen,Münchner Philharmoniker,20441.0,13029.0,90.66,56.89,19693.0,2004-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2004-08-01
Besucher*innen,Münchner Philharmoniker,11888.0,17308.0,,-31.31,19200.0,2004-09-01
Besucher*innen,Münchner Philharmoniker,19903.0,11960.0,67.42,66.41,19922.0,2004-10-01
Besucher*innen,Münchner Philharmoniker,28571.0,24093.0,43.55,18.59,20329.0,2004-11-01
Besucher*innen,Münchner Philharmoniker,18415.0,25018.0,-35.55,-26.39,19729.0,2004-12-01
Besucher*innen,Münchner Philharmoniker,24182.0,23581.0,3.47,2.55,18273.0,2003-01-01
Besucher*innen,Münchner Philharmoniker,16042.0,14877.0,-33.66,7.83,18370.0,2003-02-01
Besucher*innen,Münchner Philharmoniker,30000.0,22431.0,87.01,33.74,19001.0,2003-03-01
Besucher*innen,Münchner Philharmoniker,20886.0,23404.0,-30.38,-10.76,18791.0,2003-04-01
Besucher*innen,Münchner Philharmoniker,21767.0,13651.0,4.22,59.45,19467.0,2003-05-01
Besucher*innen,Münchner Philharmoniker,15431.0,25154.0,-29.11,-38.65,18657.0,2003-06-01
Besucher*innen,Münchner Philharmoniker,13029.0,7140.0,-15.57,82.48,19148.0,2003-07-01
Besucher*innen,Münchner Philharmoniker,,2347.0,,,,2003-08-01
Besucher*innen,Münchner Philharmoniker,17308.0,14372.0,,20.43,20942.0,2003-09-01
Besucher*innen,Münchner Philharmoniker,11960.0,21218.0,-30.9,-43.63,20100.0,2003-10-01
Besucher*innen,Münchner Philharmoniker,24093.0,27128.0,101.45,-11.19,19825.0,2003-11-01
Besucher*innen,Münchner Philharmoniker,25018.0,23372.0,3.84,7.04,19974.0,2003-12-01
Besucher*innen,Münchner Philharmoniker,23581.0,21558.0,-14.62,9.38,22981.0,2002-01-01
Besucher*innen,Münchner Philharmoniker,14877.0,24074.0,-36.91,-38.2,22145.0,2002-02-01
Besucher*innen,Münchner Philharmoniker,22431.0,29487.0,50.78,-23.93,21503.0,2002-03-01
Besucher*innen,Münchner Philharmoniker,23404.0,21014.0,4.34,11.37,21721.0,2002-04-01
Besucher*innen,Münchner Philharmoniker,13651.0,10303.0,-41.67,32.5,22025.0,2002-05-01
Besucher*innen,Münchner Philharmoniker,25154.0,19958.0,84.26,26.03,22497.0,2002-06-01
Besucher*innen,Münchner Philharmoniker,7140.0,14316.0,-71.61,-50.13,21845.0,2002-07-01
Besucher*innen,Münchner Philharmoniker,2347.0,,-67.13,,20220.0,2002-08-01
Besucher*innen,Münchner Philharmoniker,14372.0,30713.0,512.36,-53.21,18859.0,2002-09-01
Besucher*innen,Münchner Philharmoniker,21218.0,20611.0,47.63,2.95,18909.0,2002-10-01
Besucher*innen,Münchner Philharmoniker,27128.0,31115.0,27.85,-12.81,18577.0,2002-11-01
Besucher*innen,Münchner Philharmoniker,23372.0,27619.0,-13.85,-15.38,18223.0,2002-12-01
Besucher*innen,Münchner Philharmoniker,21558.0,19192.0,-30.19,12.33,21882.0,2001-01-01
Besucher*innen,Münchner Philharmoniker,24074.0,16446.0,11.67,46.38,22576.0,2001-02-01
Besucher*innen,Münchner Philharmoniker,29487.0,29299.0,22.48,0.64,22593.0,2001-03-01
Besucher*innen,Münchner Philharmoniker,21014.0,20986.0,-28.73,0.13,22595.0,2001-04-01
Besucher*innen,Münchner Philharmoniker,10303.0,14768.0,-50.97,-30.23,22189.0,2001-05-01
Besucher*innen,Münchner Philharmoniker,19958.0,19355.0,93.71,3.12,22244.0,2001-06-01
Besucher*innen,Münchner Philharmoniker,14316.0,19246.0,-28.27,-25.62,21796.0,2001-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2001-08-01
Besucher*innen,Münchner Philharmoniker,30713.0,27857.0,,10.25,22056.0,2001-09-01
Besucher*innen,Münchner Philharmoniker,20611.0,11940.0,-32.89,72.62,22844.0,2001-10-01
Besucher*innen,Münchner Philharmoniker,31115.0,28369.0,50.96,9.68,23094.0,2001-11-01
Besucher*innen,Münchner Philharmoniker,27619.0,30880.0,-11.24,-10.56,22797.0,2001-12-01
Besucher*innen,Münchner Philharmoniker,19192.0,,,,19192.0,2000-01-01
Besucher*innen,Münchner Philharmoniker,16446.0,,-14.31,,17819.0,2000-02-01
Besucher*innen,Münchner Philharmoniker,29299.0,,78.15,,21646.0,2000-03-01
Besucher*innen,Münchner Philharmoniker,20986.0,,-28.37,,21481.0,2000-04-01
Besucher*innen,Münchner Philharmoniker,14768.0,,-29.63,,20138.0,2000-05-01
Besucher*innen,Münchner Philharmoniker,19355.0,,31.06,,20008.0,2000-06-01
Besucher*innen,Münchner Philharmoniker,19246.0,,-0.56,,19899.0,2000-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2000-08-01
Besucher*innen,Münchner Philharmoniker,27857.0,,,,20894.0,2000-09-01
Besucher*innen,Münchner Philharmoniker,11940.0,,-57.14,,19899.0,2000-10-01
Besucher*innen,Münchner Philharmoniker,28369.0,,137.6,,20746.0,2000-11-01
Besucher*innen,Münchner Philharmoniker,30880.0,,8.85,,21667.0,2000-12-01
