MONATSZAHL,AUSPRAEGUNG,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT,DATE
Besucher*innen,Bayerisches Staatsorchester,4944.0,315.0,,1469.52,4028.0,2015-10-01
Besucher*innen,Bayerisches Staatsorchester,4363.0,5804.0,-11.75,-24.83,3883.0,2015-11-01
Besucher*innen,Bayerisches Staatsorchester,67.0,1442.0,-98.46,-95.35,3746.0,2015-12-01
Besucher*innen,Bayerisches Staatsorchester,6790.0,,935.06,,3812.0,2014-01-01
Besucher*innen,Bayerisches Staatsorchester,4625.0,4795.0,-31.89,-3.55,3796.0,2014-02-01
Besucher*innen,Bayerisches Staatsorchester,310.0,514.0,-93.3,-39.69,3778.0,2014-03-01
Besucher*innen,Bayerisches Staatsorchester,4395.0,4689.0,1317.74,-6.27,3751.0,2014-04-01
Besucher*innen,Bayerisches Staatsorchester,792.0,6015.0,-81.98,-86.83,3276.0,2014-05-01
Besucher*innen,Bayerisches Staatsorchester,7578.0,4383.0,856.82,72.9,3567.0,2014-06-01
Besucher*innen,Bayerisches Staatsorchester,5947.0,4588.0,-21.52,29.62,3690.0,2014-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2014-08-01
Besucher*innen,Bayerisches Staatsorchester,4194.0,3415.0,,22.81,3761.0,2014-09-01
Besucher*innen,Bayerisches Staatsorchester,315.0,4473.0,-92.49,-92.96,3383.0,2014-10-01
Besucher*innen,Bayerisches Staatsorchester,5804.0,1613.0,1742.54,259.83,3764.0,2014-11-01
Besucher*innen,Bayerisches Staatsorchester,1442.0,656.0,-75.16,119.82,3836.0,2014-12-01
Besucher*innen,Bayerisches Staatsorchester,,4635.0,,,,2013-01-01
Besucher*innen,Bayerisches Staatsorchester,4795.0,342.0,,1302.05,4150.0,2013-02-01
Besucher*innen,Bayerisches Staatsorchester,514.0,4096.0,-89.28,-87.45,3792.0,2013-03-01
Besucher*innen,Bayerisches Staatsorchester,4689.0,969.0,812.26,383.9,4164.0,2013-04-01
Besucher*innen,Bayerisches Staatsorchester,6015.0,4359.0,28.28,37.99,4330.0,2013-05-01
Besucher*innen,Bayerisches Staatsorchester,4383.0,6160.0,-27.13,-28.85,4152.0,2013-06-01
Besucher*innen,Bayerisches Staatsorchester,4588.0,6247.0,4.68,-26.56,3986.0,2013-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2013-08-01
Besucher*innen,Bayerisches Staatsorchester,3415.0,3950.0,,-13.54,3933.0,2013-09-01
Besucher*innen,Bayerisches Staatsorchester,4473.0,1964.0,30.98,127.75,4184.0,2013-10-01
Besucher*innen,Bayerisches Staatsorchester,1613.0,4975.0,-63.94,-67.58,3847.0,2013-11-01
Besucher*innen,Bayerisches Staatsorchester,656.0,3988.0,-59.33,-83.55,3514.0,2013-12-01
Besucher*innen,Bayerisches Staatsorchester,4635.0,467.0,-47.66,892.51,5514.0,2012-01-01
Besucher*innen,Bayerisches Staatsorchester,342.0,4560.0,-92.62,-92.5,4986.0,2012-02-01
Besucher*innen,Bayerisches Staatsorchester,4096.0,,1097.66,,4887.0,2012-03-01
Besucher*innen,Bayerisches Staatsorchester,969.0,4714.0,-76.34,-79.44,4471.0,2012-04-01
Besucher*innen,Bayerisches Staatsorchester,4359.0,4031.0,349.85,8.14,4508.0,2012-05-01
Besucher*innen,Bayerisches Staatsorchester,6160.0,,41.32,,4673.0,2012-06-01
Besucher*innen,Bayerisches Staatsorchester,6247.0,9725.0,1.41,-35.76,4325.0,2012-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2012-08-01
Besucher*innen,Bayerisches Staatsorchester,3950.0,,,,4291.0,2012-09-01
Besucher*innen,Bayerisches Staatsorchester,1964.0,4994.0,-50.28,-60.67,4016.0,2012-10-01
Besucher*innen,Bayerisches Staatsorchester,4975.0,2593.0,153.31,91.86,4232.0,2012-11-01
Besucher*innen,Bayerisches Staatsorchester,3988.0,8856.0,-19.84,-54.97,3790.0,2012-12-01
Besucher*innen,Bayerisches Staatsorchester,467.0,6735.0,78.93,-93.07,3097.0,2011-01-01
Besucher*innen,Bayerisches Staatsorchester,4560.0,612.0,876.45,645.1,3491.0,2011-02-01
Besucher*innen,Bayerisches Staatsorchester,,3624.0,,,,2011-03-01
Besucher*innen,Bayerisches Staatsorchester,4714.0,5655.0,,-16.64,3372.0,2011-04-01
Besucher*innen,Bayerisches Staatsorchester,4031.0,5152.0,-14.49,-21.76,3247.0,2011-05-01
Besucher*innen,Bayerisches Staatsorchester,,475.0,,,,2011-06-01
Besucher*innen,Bayerisches Staatsorchester,9725.0,4011.0,,142.46,4308.0,2011-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2011-08-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2011-09-01
Besucher*innen,Bayerisches Staatsorchester,4994.0,1217.0,,310.35,4780.0,2011-10-01
Besucher*innen,Bayerisches Staatsorchester,2593.0,9491.0,-48.08,-72.68,3918.0,2011-11-01
Besucher*innen,Bayerisches Staatsorchester,8856.0,261.0,241.53,3293.1,4993.0,2011-12-01
Besucher*innen,Bayerisches Staatsorchester,6735.0,4190.0,1247.0,60.74,3856.0,2010-01-01
Besucher*innen,Bayerisches Staatsorchester,612.0,548.0,-90.91,11.68,3861.0,2010-02-01
Besucher*innen,Bayerisches Staatsorchester,3624.0,4830.0,492.16,-24.97,3752.0,2010-03-01
Besucher*innen,Bayerisches Staatsorchester,5655.0,6780.0,56.04,-16.59,3649.0,2010-04-01
Besucher*innen,Bayerisches Staatsorchester,5152.0,4308.0,-8.89,19.59,3726.0,2010-05-01
Besucher*innen,Bayerisches Staatsorchester,475.0,178.0,-90.78,166.85,3753.0,2010-06-01
Besucher*innen,Bayerisches Staatsorchester,4011.0,8209.0,744.42,-51.14,3372.0,2010-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2010-08-01
Besucher*innen,Bayerisches Staatsorchester,,3793.0,,,,2010-09-01
Besucher*innen,Bayerisches Staatsorchester,1217.0,1554.0,,-21.69,3296.0,2010-10-01
Besucher*innen,Bayerisches Staatsorchester,9491.0,4976.0,679.87,90.74,3747.0,2010-11-01
Besucher*innen,Bayerisches Staatsorchester,261.0,500.0,-97.25,-47.8,3723.0,2010-12-01
Besucher*innen,Bayerisches Staatsorchester,4190.0,699.0,-11.66,499.43,4260.0,2009-01-01
Besucher*innen,Bayerisches Staatsorchester,548.0,4779.0,-86.92,-88.53,3790.0,2009-02-01
Besucher*innen,Bayerisches Staatsorchester,4830.0,,781.39,,3894.0,2009-03-01
Besucher*innen,Bayerisches Staatsorchester,6780.0,4882.0,40.37,38.88,4084.0,2009-04-01
Besucher*innen,Bayerisches Staatsorchester,4308.0,567.0,-36.46,659.79,4458.0,2009-05-01
Besucher*innen,Bayerisches Staatsorchester,178.0,6097.0,-95.87,-97.08,3866.0,2009-06-01
Besucher*innen,Bayerisches Staatsorchester,8209.0,6752.0,4511.8,21.58,4012.0,2009-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2009-08-01
Besucher*innen,Bayerisches Staatsorchester,3793.0,,,,3992.0,2009-09-01
Besucher*innen,Bayerisches Staatsorchester,1554.0,1735.0,-59.03,-10.43,3976.0,2009-10-01
Besucher*innen,Bayerisches Staatsorchester,4976.0,4599.0,220.21,8.2,4010.0,2009-11-01
Besucher*innen,Bayerisches Staatsorchester,500.0,4743.0,-89.95,-89.46,3624.0,2009-12-01
Besucher*innen,Bayerisches Staatsorchester,699.0,4338.0,,-83.89,3887.0,2008-01-01
Besucher*innen,Bayerisches Staatsorchester,4779.0,6853.0,583.69,-30.26,3679.0,2008-02-01
Besucher*innen,Bayerisches Staatsorchester,,677.0,,,,2008-03-01
Besucher*innen,Bayerisches Staatsorchester,4882.0,3805.0,,28.3,4132.0,2008-04-01
Besucher*innen,Bayerisches Staatsorchester,567.0,795.0,-88.39,-28.68,4107.0,2008-05-01
Besucher*innen,Bayerisches Staatsorchester,6097.0,3879.0,975.31,57.18,4354.0,2008-06-01
Besucher*innen,Bayerisches Staatsorchester,6752.0,7974.0,10.74,-15.32,4218.0,2008-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2008-08-01
Besucher*innen,Bayerisches Staatsorchester,,4568.0,,,,2008-09-01
Besucher*innen,Bayerisches Staatsorchester,1735.0,5054.0,,-65.67,3759.0,2008-10-01
Besucher*innen,Bayerisches Staatsorchester,4599.0,4562.0,165.07,0.81,3764.0,2008-11-01
Besucher*innen,Bayerisches Staatsorchester,4743.0,,3.13,,3873.0,2008-12-01
Besucher*innen,Bayerisches Staatsorchester,4338.0,962.0,554.3,350.94,3868.0,2007-01-01
Besucher*innen,Bayerisches Staatsorchester,6853.0,8155.0,57.98,-15.97,3738.0,2007-02-01
Besucher*innen,Bayerisches Staatsorchester,677.0,717.0,-90.12,-5.58,3734.0,2007-03-01
Besucher*innen,Bayerisches Staatsorchester,3805.0,7516.0,462.04,-49.37,3363.0,2007-04-01
Besucher*innen,Bayerisches Staatsorchester,795.0,5369.0,-79.11,-85.19,2905.0,2007-05-01
Besucher*innen,Bayerisches Staatsorchester,3879.0,,387.92,,2994.0,2007-06-01
Besucher*innen,Bayerisches Staatsorchester,7974.0,2823.0,105.57,182.47,3462.0,2007-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2007-08-01
Besucher*innen,Bayerisches Staatsorchester,4568.0,3193.0,,43.06,3587.0,2007-09-01
Besucher*innen,Bayerisches Staatsorchester,5054.0,5357.0,10.64,-5.66,3559.0,2007-10-01
Besucher*innen,Bayerisches Staatsorchester,4562.0,547.0,-9.73,734.0,3924.0,2007-11-01
Besucher*innen,Bayerisches Staatsorchester,,663.0,,,,2007-12-01
Besucher*innen,Bayerisches Staatsorchester,962.0,3823.0,-77.93,-74.84,3753.0,2006-01-01
Besucher*innen,Bayerisches Staatsorchester,8155.0,5240.0,747.71,55.63,4044.0,2006-02-01
Besucher*innen,Bayerisches Staatsorchester,717.0,2865.0,-91.21,-74.97,3829.0,2006-03-01
Besucher*innen,Bayerisches Staatsorchester,7516.0,4572.0,948.26,64.39,4124.0,2006-04-01
Besucher*innen,Bayerisches Staatsorchester,5369.0,4330.0,-28.57,24.0,4228.0,2006-05-01
Besucher*innen,Bayerisches Staatsorchester,,685.0,,,,2006-06-01
Besucher*innen,Bayerisches Staatsorchester,2823.0,5192.0,,-45.63,4358.0,2006-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2006-08-01
Besucher*innen,Bayerisches Staatsorchester,3193.0,,,,4242.0,2006-09-01
Besucher*innen,Bayerisches Staatsorchester,5357.0,4394.0,67.77,21.92,4338.0,2006-10-01
Besucher*innen,Bayerisches Staatsorchester,547.0,4929.0,-89.79,-88.9,3900.0,2006-11-01
Besucher*innen,Bayerisches Staatsorchester,663.0,4358.0,21.21,-84.79,3530.0,2006-12-01
Besucher*innen,Bayerisches Staatsorchester,3823.0,662.0,,477.49,4176.0,2005-01-01
Besucher*innen,Bayerisches Staatsorchester,5240.0,453.0,37.07,1056.73,4707.0,2005-02-01
Besucher*innen,Bayerisches Staatsorchester,2865.0,5197.0,-45.32,-44.87,4448.0,2005-03-01
Besucher*innen,Bayerisches Staatsorchester,4572.0,737.0,59.58,520.35,4874.0,2005-04-01
Besucher*innen,Bayerisches Staatsorchester,4330.0,4224.0,-5.29,2.51,4886.0,2005-05-01
Besucher*innen,Bayerisches Staatsorchester,685.0,4240.0,-84.18,-83.84,4491.0,2005-06-01
Besucher*innen,Bayerisches Staatsorchester,5192.0,7155.0,657.96,-27.44,4273.0,2005-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2005-08-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2005-09-01
Besucher*innen,Bayerisches Staatsorchester,4394.0,6448.0,,-31.85,4045.0,2005-10-01
Besucher*innen,Bayerisches Staatsorchester,4929.0,5303.0,12.18,-7.05,4003.0,2005-11-01
Besucher*innen,Bayerisches Staatsorchester,4358.0,,-11.58,,4039.0,2005-12-01
Besucher*innen,Bayerisches Staatsorchester,662.0,4689.0,-81.93,-85.88,3596.0,2004-01-01
Besucher*innen,Bayerisches Staatsorchester,453.0,247.0,-31.57,83.4,3616.0,2004-02-01
Besucher*innen,Bayerisches Staatsorchester,5197.0,1060.0,1047.24,390.28,4030.0,2004-03-01
Besucher*innen,Bayerisches Staatsorchester,737.0,3965.0,-85.82,-81.41,3707.0,2004-04-01
Besucher*innen,Bayerisches Staatsorchester,4224.0,877.0,473.13,381.64,4042.0,2004-05-01
Besucher*innen,Bayerisches Staatsorchester,4240.0,6987.0,0.38,-39.32,3767.0,2004-06-01
Besucher*innen,Bayerisches Staatsorchester,7155.0,9545.0,68.75,-25.04,3528.0,2004-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2004-08-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2004-09-01
Besucher*innen,Bayerisches Staatsorchester,6448.0,4561.0,,41.37,3717.0,2004-10-01
Besucher*innen,Bayerisches Staatsorchester,5303.0,4389.0,-17.76,20.82,3808.0,2004-11-01
Besucher*innen,Bayerisches Staatsorchester,,3664.0,,,,2004-12-01
Besucher*innen,Bayerisches Staatsorchester,4689.0,611.0,-27.74,667.43,4656.0,2003-01-01
Besucher*innen,Bayerisches Staatsorchester,247.0,5232.0,-94.73,-95.28,4203.0,2003-02-01
Besucher*innen,Bayerisches Staatsorchester,1060.0,4799.0,329.15,-77.91,3863.0,2003-03-01
Besucher*innen,Bayerisches Staatsorchester,3965.0,4693.0,274.06,-15.51,3797.0,2003-04-01
Besucher*innen,Bayerisches Staatsorchester,877.0,1132.0,-77.88,-22.53,3773.0,2003-05-01
Besucher*innen,Bayerisches Staatsorchester,6987.0,4165.0,696.69,67.76,4030.0,2003-06-01
Besucher*innen,Bayerisches Staatsorchester,9545.0,9471.0,36.61,0.78,4037.0,2003-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2003-08-01
Besucher*innen,Bayerisches Staatsorchester,,2026.0,,,,2003-09-01
Besucher*innen,Bayerisches Staatsorchester,4561.0,2723.0,,67.5,4422.0,2003-10-01
Besucher*innen,Bayerisches Staatsorchester,4389.0,5795.0,-3.77,-24.26,4281.0,2003-11-01
Besucher*innen,Bayerisches Staatsorchester,3664.0,6489.0,-16.52,-43.54,3998.0,2003-12-01
Besucher*innen,Bayerisches Staatsorchester,611.0,5447.0,-84.91,-88.78,4562.0,2002-01-01
Besucher*innen,Bayerisches Staatsorchester,5232.0,4827.0,756.3,8.39,4607.0,2002-02-01
Besucher*innen,Bayerisches Staatsorchester,4799.0,4895.0,-8.28,-1.96,4597.0,2002-03-01
