AUSPRAEGUNG,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT,DATE
Münchner Kammerspiele,16198.0,17051.0,-0.12,-5.0,13665.0,2014-12-01
Münchner Kammerspiele,16703.0,12838.0,4.84,30.11,14355.0,2013-01-01
Münchner Kammerspiele,12215.0,17895.0,-26.87,-31.74,13839.0,2013-02-01
Münchner Kammerspiele,13762.0,17206.0,12.66,-20.02,13526.0,2013-03-01
Münchner Kammerspiele,13422.0,14993.0,-2.47,-10.48,13383.0,2013-04-01
Münchner Kammerspiele,12600.0,16607.0,-6.12,-24.13,13019.0,2013-05-01
Münchner Kammerspiele,16340.0,13595.0,29.68,20.19,13268.0,2013-06-01
Münchner Kammerspiele,13247.0,13786.0,-18.93,-3.91,13219.0,2013-07-01
Münchner Kammerspiele,,,,,,2013-08-01
Münchner Kammerspiele,2435.0,1289.0,,88.91,13324.0,2013-09-01
Münchner Kammerspiele,16047.0,15961.0,559.01,0.54,13331.0,2013-10-01
Münchner Kammerspiele,16804.0,13943.0,4.72,20.52,13592.0,2013-11-01
Münchner Kammerspiele,17051.0,15932.0,1.47,7.02,13693.0,2013-12-01
Münchner Kammerspiele,12838.0,16703.0,-8.29,-23.14,13404.0,2012-01-01
Münchner Kammerspiele,17895.0,14158.0,39.39,26.39,13744.0,2012-02-01
Münchner Kammerspiele,17206.0,17024.0,-3.85,1.07,13760.0,2012-03-01
Münchner Kammerspiele,14993.0,13961.0,-12.86,7.39,13854.0,2012-04-01
Münchner Kammerspiele,16607.0,14234.0,10.77,16.67,14070.0,2012-05-01
Münchner Kammerspiele,13595.0,13845.0,-18.14,-1.81,14047.0,2012-06-01
Münchner Kammerspiele,13786.0,14074.0,1.4,-2.05,14021.0,2012-07-01
Münchner Kammerspiele,,,,,,2012-08-01
Münchner Kammerspiele,1289.0,770.0,,67.4,14068.0,2012-09-01
Münchner Kammerspiele,15961.0,15871.0,1138.25,0.57,14076.0,2012-10-01
Münchner Kammerspiele,13943.0,16669.0,-12.64,-16.35,13828.0,2012-11-01
Münchner Kammerspiele,15932.0,13999.0,14.27,13.81,14004.0,2012-12-01
Münchner Kammerspiele,16703.0,16028.0,-4.71,4.21,13351.0,2011-01-01
Münchner Kammerspiele,14158.0,15257.0,-15.24,-7.2,13251.0,2011-02-01
Münchner Kammerspiele,17024.0,16772.0,20.24,1.5,13274.0,2011-03-01
Münchner Kammerspiele,13961.0,11880.0,-17.99,17.52,13463.0,2011-04-01
Münchner Kammerspiele,14234.0,14121.0,1.96,0.8,13473.0,2011-05-01
Münchner Kammerspiele,13845.0,13965.0,-2.73,-0.86,13462.0,2011-06-01
Münchner Kammerspiele,14074.0,11580.0,1.65,21.54,13689.0,2011-07-01
Münchner Kammerspiele,,,,,,2011-08-01
Münchner Kammerspiele,770.0,0.0,,,13759.0,2011-09-01
Münchner Kammerspiele,15871.0,13549.0,1961.17,17.14,13970.0,2011-10-01
Münchner Kammerspiele,16669.0,15503.0,5.03,7.52,14076.0,2011-11-01
Münchner Kammerspiele,13999.0,17529.0,-16.02,-20.14,13755.0,2011-12-01
Münchner Kammerspiele,16028.0,16066.0,-8.38,-0.24,14162.0,2010-01-01
Münchner Kammerspiele,15257.0,16327.0,-4.81,-6.55,14065.0,2010-02-01
Münchner Kammerspiele,16772.0,15668.0,9.93,7.05,14165.0,2010-03-01
Münchner Kammerspiele,11880.0,13454.0,-29.17,-11.7,14022.0,2010-04-01
Münchner Kammerspiele,14121.0,13671.0,18.86,3.29,14063.0,2010-05-01
Münchner Kammerspiele,13965.0,15874.0,-1.1,-12.03,13889.0,2010-06-01
Münchner Kammerspiele,11580.0,14077.0,-17.08,-17.74,13662.0,2010-07-01
Münchner Kammerspiele,,,,,,2010-08-01
Münchner Kammerspiele,0.0,3659.0,,-100.0,,2010-09-01
Münchner Kammerspiele,13549.0,13968.0,,-3.0,13292.0,2010-10-01
Münchner Kammerspiele,15503.0,15561.0,14.42,-0.37,13286.0,2010-11-01
Münchner Kammerspiele,17529.0,17494.0,13.07,0.2,13289.0,2010-12-01
Münchner Kammerspiele,16066.0,16596.0,-18.09,-3.19,13975.0,2009-01-01
Münchner Kammerspiele,16327.0,12870.0,1.62,26.86,14290.0,2009-02-01
Münchner Kammerspiele,15668.0,17521.0,-4.04,-10.58,14121.0,2009-03-01
Münchner Kammerspiele,13454.0,15662.0,-14.13,-14.1,13921.0,2009-04-01
Münchner Kammerspiele,13671.0,14138.0,1.61,-3.3,13878.0,2009-05-01
Münchner Kammerspiele,15874.0,11370.0,16.11,39.61,14288.0,2009-06-01
Münchner Kammerspiele,14077.0,12425.0,-11.32,13.3,14438.0,2009-07-01
Münchner Kammerspiele,,,,,,2009-08-01
Münchner Kammerspiele,3659.0,2356.0,,55.31,14556.0,2009-09-01
Münchner Kammerspiele,13968.0,15271.0,281.74,-8.53,14438.0,2009-10-01
Münchner Kammerspiele,15561.0,16436.0,11.4,-5.32,14358.0,2009-11-01
Münchner Kammerspiele,17494.0,19615.0,12.42,-10.81,14165.0,2009-12-01
Münchner Kammerspiele,16596.0,17080.0,0.84,-2.83,13973.0,2008-01-01
Münchner Kammerspiele,12870.0,16214.0,-22.45,-20.62,13669.0,2008-02-01
Münchner Kammerspiele,17521.0,17202.0,36.14,1.85,13698.0,2008-03-01
Münchner Kammerspiele,15662.0,14742.0,-10.61,6.24,13782.0,2008-04-01
Münchner Kammerspiele,14138.0,13874.0,-9.73,1.9,13806.0,2008-05-01
Münchner Kammerspiele,11370.0,14624.0,-19.58,-22.25,13510.0,2008-06-01
Münchner Kammerspiele,12425.0,14824.0,9.28,-16.18,13292.0,2008-07-01
Münchner Kammerspiele,,,,,,2008-08-01
Münchner Kammerspiele,2356.0,1468.0,,60.49,13372.0,2008-09-01
Münchner Kammerspiele,15271.0,13265.0,548.17,15.12,13555.0,2008-10-01
Münchner Kammerspiele,16436.0,14436.0,7.63,13.85,13737.0,2008-11-01
Münchner Kammerspiele,19615.0,16458.0,19.34,19.18,14024.0,2008-12-01
Münchner Kammerspiele,17080.0,15517.0,-6.98,10.07,13622.0,2007-01-01
Münchner Kammerspiele,16214.0,14092.0,-5.07,15.06,13815.0,2007-02-01
Münchner Kammerspiele,17202.0,15567.0,6.09,10.5,13964.0,2007-03-01
Münchner Kammerspiele,14742.0,12806.0,-14.3,15.12,14140.0,2007-04-01
Münchner Kammerspiele,13874.0,14630.0,-5.89,-5.17,14071.0,2007-05-01
Münchner Kammerspiele,14624.0,14849.0,5.41,-1.52,14051.0,2007-06-01
Münchner Kammerspiele,14824.0,11537.0,1.37,28.49,14349.0,2007-07-01
Münchner Kammerspiele,,,,,,2007-08-01
Münchner Kammerspiele,1468.0,1880.0,,-21.91,14312.0,2007-09-01
