,id,full_text,location,part_of_s
831,1240959773903917056,"['ones', 'true', 'spiritual', 'nature', 'sneakers', 'common', 'sense', 'required', 'lead', 'people', 'peeline', 'fullfillment', '...', 'yep', '!', 'comm', 'sense', 'says', 'seek', 'secrch', 'test', 'infected', 'infected', 'corona', 'virus', 'let', 'know', 'preventive', 'maintenance', 'action', 'singling', 'deamining', 'any', '...']","Brooklyn, NY, Etats-Unis","[('ones', 'NNS'), ('true', 'JJ'), ('spiritual', 'JJ'), ('nature', 'NN'), ('sneakers', 'NNS'), ('common', 'JJ'), ('sense', 'NN'), ('required', 'VBN'), ('lead', 'JJ'), ('people', 'NNS'), ('peeline', 'VBP'), ('fullfillment', 'NN'), ('...', ':'), ('yep', 'NN'), ('!', '.'), ('comm', 'NN'), ('sense', 'NN'), ('says', 'VBZ'), ('seek', 'JJ'), ('secrch', 'NN'), ('test', 'NN'), ('infected', 'VBN'), ('infected', 'JJ'), ('corona', 'NN'), ('virus', 'NN'), ('let', 'NN'), ('know', 'VB'), ('preventive', 'JJ'), ('maintenance', 'NN'), ('action', 'NN'), ('singling', 'VBG'), ('deamining', 'VBG'), ('any', 'DT'), ('...', ':')]"
832,1240959774176325634,"['retweet', ':', 'leaders', 'lead', 'example', '.', 'morrison', 'adamant', 'children', 'school', 'coronavirus', '.', 'asked…']",Australia,"[('retweet', 'NN'), (':', ':'), ('leaders', 'NNS'), ('lead', 'VBP'), ('example', 'NN'), ('.', '.'), ('morrison', 'NN'), ('adamant', 'JJ'), ('children', 'NNS'), ('school', 'NN'), ('coronavirus', 'NN'), ('.', '.'), ('asked…', 'NN')]"
833,1240959774323245057,"['imagine', 'screwed', 'we', '’', 'd', 'covid19', 'swept', 'congress', 'couldn', '’', 't', 'effectively', 'legislate', '?', '?']",,"[('imagine', 'NN'), ('screwed', 'VBD'), ('we', 'PRP'), ('’', 'VBP'), ('d', 'JJ'), ('covid19', 'NN'), ('swept', 'VBD'), ('congress', 'JJ'), ('couldn', 'NN'), ('’', 'NNP'), ('t', 'NN'), ('effectively', 'RB'), ('legislate', 'VB'), ('?', '.'), ('?', '.')]"
834,1240959774847631361,"['retweet', ':', 'everyone', 'needs', 'take', 'social', 'distancing', 'advice', 'seriously', 'everyones', ""'"", 'sake', 'young', 'old', 'alike', '.', 'true', 'th…']","London, United Kingdom","[('retweet', 'NN'), (':', ':'), ('everyone', 'NN'), ('needs', 'NNS'), ('take', 'VBP'), ('social', 'JJ'), ('distancing', 'NN'), ('advice', 'NN'), ('seriously', 'RB'), ('everyones', 'NNS'), (""'"", 'POS'), ('sake', 'NN'), ('young', 'JJ'), ('old', 'JJ'), ('alike', 'NN'), ('.', '.'), ('true', 'JJ'), ('th…', 'NN')]"
835,1240959778068758528,"['retweet', ':', 'show', 'seasonal', 'flu', 'leads', 'triage', 'let', 'die', 'icus', 'despite', 'intense', 'social', 'distancing', '&', 'amp', ';', 'i', '’', 'll', 'stop', 'worryin…']","London, United Kingdom","[('retweet', 'NN'), (':', ':'), ('show', 'NN'), ('seasonal', 'JJ'), ('flu', 'NN'), ('leads', 'VBZ'), ('triage', 'JJ'), ('let', 'NN'), ('die', 'VB'), ('icus', 'VB'), ('despite', 'IN'), ('intense', 'JJ'), ('social', 'JJ'), ('distancing', 'NN'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('i', 'CC'), ('’', 'VBP'), ('ll', 'JJ'), ('stop', 'NN'), ('worryin…', 'NN')]"
836,1240959778429399040,"['retweet', ':', 'coronavirus', ':', 'us-china', 'decoupling', 'may', 'diminish', 'beijing', '’', 's', 'role', 'g20', 'economic', 'response']",,"[('retweet', 'NN'), (':', ':'), ('coronavirus', 'NN'), (':', ':'), ('us-china', 'JJ'), ('decoupling', 'NN'), ('may', 'MD'), ('diminish', 'VB'), ('beijing', 'VBG'), ('’', 'JJ'), ('s', 'JJ'), ('role', 'NN'), ('g20', 'JJ'), ('economic', 'JJ'), ('response', 'NN')]"
837,1240959778756661248,"['retweet', ':', 'china', 'times', 'people', 'italy', '...']","Lebanon, United States","[('retweet', 'NN'), (':', ':'), ('china', 'NN'), ('times', 'NNS'), ('people', 'NNS'), ('italy', 'VBP'), ('...', ':')]"
838,1240959778999996416,"['retweet', ':', '``', 'we', 'treated', 'paid', 'badly', 'thousands', 'left', '.', 'we', ""'d"", 'greatly', 'appreciate', 'came', 'back', 'fight…']","London, United Kingdom","[('retweet', 'NN'), (':', ':'), ('``', '``'), ('we', 'PRP'), ('treated', 'VBD'), ('paid', 'VBN'), ('badly', 'RB'), ('thousands', 'NNS'), ('left', 'VBD'), ('.', '.'), ('we', 'PRP'), (""'d"", 'MD'), ('greatly', 'RB'), ('appreciate', 'VB'), ('came', 'VBD'), ('back', 'RB'), ('fight…', 'NN')]"
839,1240959779008327680,"['retweet', ':', 'coronavirus', ':', '*', 'enters', 'lebron', '’', 's', 'body', '*', 'lebron', '’', 's', 'immune', 'systemEmbarra', '*', '*', 'ed_or_blushing']","Paris, France","[('retweet', 'NN'), (':', ':'), ('coronavirus', 'NN'), (':', ':'), ('*', 'JJ'), ('enters', 'NNS'), ('lebron', 'VBP'), ('’', 'JJ'), ('s', 'NN'), ('body', 'NN'), ('*', 'NNP'), ('lebron', 'VBZ'), ('’', 'NNP'), ('s', 'NN'), ('immune', 'NN'), ('systemEmbarra', 'NN'), ('*', 'NNP'), ('*', 'NNP'), ('ed_or_blushing', 'VBG')]"
840,1240959845974540293,"['retweet', ':', 'corona', 'big', 'fat', 'white', 'nasty', 'smelling', 'fat', 'female', 'dog', 'took', 'motherf', '*', '*', 'kin', 'schedule', 'tri…']","Brighton, Australia","[('retweet', 'NN'), (':', ':'), ('corona', 'NN'), ('big', 'JJ'), ('fat', 'JJ'), ('white', 'JJ'), ('nasty', 'JJ'), ('smelling', 'NN'), ('fat', 'JJ'), ('female', 'NN'), ('dog', 'NN'), ('took', 'VBD'), ('motherf', 'NN'), ('*', 'NN'), ('*', 'NNP'), ('kin', 'FW'), ('schedule', 'NN'), ('tri…', 'NN')]"
